	review
0	@gfalcone601 that little girl on BGT! how sad! i cried  lol xxxxxxxxxxxxxxxxxxx
1	Today I wrote two songs (one for temple which I will probably never perform ever) and one for mothers day. Happy vesak everyone  rena xoxo
2	Have 3 of the 5 grandbabies again today. 19 month old twins and a 3 1/2 month infant. I love every minute of it too.
3	on my way to driver's training
4	@rmolden Yes, maybe, but for today, I write
5	@funhiguy Hi man, yeah I so wanna go, but I'm on Maui  #liloven
6	@domsmitherz what was said?
7	Bah! Still at work. Lol my feet hurt and my nose won't stop running!
8	i thought ur account @DavidArchie was fake. but, it's true, sorry david!
9	2pm today is Quiz Time at the Goat! Game shows to play and prizes to be won! Plus 'Toss Off Tommy' for free drinks! Today from 2! x
10	wants to buy really red* lipstick. But I won't wear it that often
11	@BamaBlockhead No.. $16 is a good price considering WHO you are going to see!    Right?
12	@JanisJ1212 haven't laughed that much in awhile
13	@RobCairns My pleasure.  Hear Kelli has new project!   #followfriday
14	@MrsWilliams @Timperator fï¿½hlt sich ganz so an #montezuma #iphone
15	@MSMyPhone I need a code
16	wants TFA back.  http://plurk.com/p/x2rgl
17	@Fresh_and_Easy when will these stores in Sacramento open? Been waiting and nothing
18	So now we'll pay more in sales tax...great.  Even worse Mom and Pop businesses have to double what they pay in business licenses.
19	Coco still out
20	WOW i just drank a drink of water - 12 ice cubes that took ages to melt. i now have brian freeze
21	Woop, have just bought the Elliot Minor album on itunes. Its finally working for me!!
22	loves it when mom and dad come to visit! nothin better
23	hmm icecream for breakfast  #springtime
24	@NMaize Lucky Rob... always gettin' the T8's from Emalon
25	@serenajwilliams Hi Serena just want to say good luck in Madrid and Paris this month
26	@stormyamorette just one of those days where loneliness creeps up on you slaps you in the face.
27	A little 3 mile run done!  22.5 minutes...  I'm exhausted!  Not impressed with the HRM...
28	finally leaving this place! woohoo! school time!
29	lol if i only can sTay up a few more hours.. i keep missing Tila's lasT posTs ..
30	I Love the lady from the Progressive commercials she's so funny
31	ooh@LuLu_Bell whatchu goin as? Monsterpalooza's this weekend for us.  on the no Ink, i won't be a stressed contestant this year! Miss U X0
32	With my jordie for a little bit
33	yay mothers day  i love mi madre
34	Lookin for work via online, watchin ShayCarl's latest vlog entry on youtube and textin a lady friend.  My beds calling my name though..
35	@Marcyluvstravel omg! I dont blame you! hope you didnt hurt him too bad
36	Wish someone would by my 90mm Mamiya MF lens. Needs the money
37	I miss my daily quotes! Why don't i get them anymore? @sschabowski am I kicked from your mailinglist?
38	@cocoacast I need to move to NY, SanFran, or Seattle to get worth-a-crap internet speeds
39	Father is staying home and conference calling. Sorry @Sparklegirl21
40	As old as the answer to the ultimate question of life, the universe &amp; everything. That's 42, for all the non-Hitchikers Guide fans
41	@ RyanSeacrest : hi there might be a problem as it says no stream online, wat's not right?
42	@mileycyrus I'd love to, but i'm all the way in India.
43	@ Kosme -&gt; careful or you're going to be like me; updating websites and such on a Friday night
44	paathra ....khandvi....kamanee    ...watte sunday mrng
45	Nic has no idea what he's going to do!  money is all gone!
46	@Crossbow1 YOU'RE TELLING ME.
47	i hate having the same hair for too long. i think i want super looong hair now
48	X-Men:Wolverine was hot! I say go watch it
49	Just had a lovely walk with my dog ( all on my own! )...In the dark  But it was a nice walk though HEHE x.
50	@justjen97 BTW, do not plan anything for next Sunday. But do find out times they're showing Wolverine. I will take us to the movies!
51	per @ttorrent dew claw = thumb nub
52	@Princess_DJ Xmas a week early? Hehe, at least you didn't have to do any last min shopping
53	Don't know what to do right now...pretty bored, but I refuse to study. Any suggestions?
54	I just want to watch my Naruto Shippuuden missed episodes.
55	Barnsley To Keep Davey   And Sign A New Experienced Striker.
56	Has been a long day - Matinee and evening show. Will be sad tomorrow: last ever Welsh College show
57	@Lozingsleep Damn, that charming skater look is kind of....HOT! A hot mess  Catherine pls don't hate me for hitting on your friends. tnx
58	I have lived through our band's first performance, and it was pretty damn fun.
59	@RetroBakery I would have to agree on the Bacon Cupcake... Would rather drive 2 the shop instead of 2 the office
60	@suddentwilight Yep, that's me all right - I don't mean the monk is Me - that's my (as in a photo taken by me) in Better Photography
61	Why can't I make a phone call! I hate this anxiety crap. Someone cure me
62	I knew I should've worn the SARS mask on the plane from SoCal.. feeling the beginnings of a sore throat
63	@kristanmarie at least you dont have quad parking haha two cars drove by real fast and spashed mud all over me
64	OMG sore shoulder
65	fucking hates goodbyes
66	ohhhh, how sad...I didnï¿½t get it!
67	waiting for the last video to be rendered. while watching episode 11
68	May the 4th be with you. Happy Star Wars Day!  http://ow.ly/52Aw
69	wanted greg pritchard to go through     what a silly, sobby and hopelessly dull little girl hollie steel is?
70	@TwitMUGSHOT I'm like so upset with you.. haha.. you never told me the 411..
71	gawd the rain is too strong
72	@TaylaMcCloud yeah i did haha 3rd episode is up as well
73	Is listening to P!nk tunage and trying to teach my cat to dance to it... I think she's getting it we can be backing dancers by next tour
74	Finally going home! Its been a long night.. Ready to crash and have awesome dreams
75	Tracy and Berwick breaks my achy breaky heart  They split ways in the hallways.
76	@MissXu Nope  Not that I have to worry about the possibility. I'm more worried about GOOG's design than her personal taste, actually.
77	I'm totally going to bed right now.
78	@jkreeftmeijer you can turn the bird sounds off if you like in twitterena - check out settings from your home page
79	@chang_ROR Hey dude welcome to twitter  its seexyyyyy
80	I'm doing an advert 4 the Make-A-Wish foundation &amp; I can't find photos of kids looking close to death... that's a good thing for the kids
81	Two week extension on contract ... I'm ready for it to be done
82	What am I doing atm? http://twitpic.com/4jmeh Oh yeah. Apple Juice  I'm such a rebel!
83	@tommcfly &quot;We never want to lose the fans that got us here!&quot; Thank you for saying that  Wish you and the others a nice day, greets
84	Wtf why am i JUST getting up now? HM:TM today  but before that... revision revision revision :/
85	Home empty handed.  No comics found today.  I shall now indulge in my cupcakes from Magnolia Bakery.
86	Summer Glau to appear in Dollhouse next year http://tinyurl.com/mnrezc ... I still can't believe they won't renew TSCC
87	90210 9pm  I laaaaaaaaave it.
88	Why does my boss have to come in today.....
89	My phone is dying ....
90	talking to dii and missing her terribly...
91	(@zachflauaus) Note to self: never ever leave the MacBook Pro on the stupid iCurve. It fell off.
92	Happy Mothers Day. Havent got mom a present yet? Print off an Amazon Gift Card for her!  http://snipurl.com/hq0n1
93	good news: my flat is great at regulating temps. in the heat. bad news: its sodding lovely outside and i'm working!
94	@tonyrobbins &quot;paradise is where I am.&quot; he also said
95	looks like another sober weekend ahead...
96	Sgt. Hughes has bacteria meningitis  so i disinfected our female latrine and im writing an essay on meningitis for Sgt. Ski....
97	Just got home from work.. My feet are killing me
98	I SO should've gone right now!!! *wish I could alter time!!  *
99	...No more adventure time
100	Hah! I saw the Wolverine last night!!! Now I can die happy, well not yet though, got a few things to get done first, but was my MoY
101	@HairBoutique Thanks, btw which men's hairstyles are in right now? I'm growing my hair long  anyway hope you are having a good weekend!
102	What's with the gloomy weather? The sun must be too tired to come out and play  heading to victoria gardens for some impulse buys haha
103	made my pin hole camera todaaaaay. need to get some film now!  http://tinyurl.com/cw8wp2
104	@richardepryor You missed me!  lol
105	FUCK FUCK FUCK FUCK, @bradiewebbstack please comment me back  ILY
106	Running errands with my little man. Maybe he won't act like a 3 year old today.
107	ahahah with sandy, bekz, erin and derrian
108	really need to study, many books many updates  :~
109	@zaneology Correction: &quot;facetious&quot; not &quot;sarcastic.&quot; Apologies.  Oh, and happy Mother's Day!
110	@jbrigante haha. I'm on drink #2. Cheat day for me
111	heading to Xtra-vision to get part 2 of Season 3 - CSI Miami baby!!!
112	good morning tweets
113	&quot;Ooh-ooh... it's SHINY&quot;. An dmore awe-tastic quotes from THE BEST ANIMATED MOVIE EVER coming up
114	I say &quot;oh man..&quot; jovani asks, &quot;did you just call me an old man?&quot; haha
115	@midnatsol hello hun, how's things going? Tell me all
116	@rachyzilla still haven't been to the infamous liverpool store  my manager helped set it up said it's awesome (y)
117	6th street was amazing this weekend!!! The wedding was fantastic.. but im really really tired at work from the long eventful weekend
118	Excited bout going out 2nite but bummed cuz im da designated driver. So no drinking for Angie!
119	my phone is broken    &amp; im too lazy to go to the verizon store to get a new one.. oh well i guess no phone for awhile.. aha
120	@man_wi_no_name nope!  the printer in the library didn't work, ill have to pass it in monday
121	didnt say goodnight to you
122	@cookiemonster82 ohhh yea it is from the same film  and this one had been a fave for a longgggg time... any1 for humma humma?
123	is loving life in sydney
124	has applied for OSAP yet again- God, I'm gonna owe major $$$ by the end of my academic career, this just ain't right!!
125	I've got great expectations of tomorrow  It's gonna be awesome!! ? http://blip.fm/~5jf53
126	@AnneTwan May the fourth be with you
127	@antwanduncan ew, tongue kiss
128	@bradfordshimp The least I can do for you is re-tweet it when it's ready. So @ me  Mine is http://bit.ly/xPvT7 - I talk about viral tweets
129	@atlanta_arcelay http://twitpic.com/4xvw2 - I got chased by a male chihuahua that looked like he was pregnant today  He was black and  ...
130	@ragavin  is there anything Brian or I can do?
131	@CostaVidaFred awwwwww sorry we're going to miss you!
132	Just put all the original art for my comics into an album.  Its really nice, except it shows how much I liked to cut corners to finish.
133	Going to bed. Today was another good, if uneventful day.
134	have a splitting headache!
135	@crazytwism http://twitpic.com/416b7 - hey! nice pic
136	@aidadoll LMAAAOOOOO that is horrible. Poor thing
137	Because you're everything to me DEMI LOVATO
138	Ohhh me, i am rather bored. How can a friday night be soo boring!
139	My tooth is bloody killing, not sure I can wait until next week to get it fixed
140	@thedailysurvey Why do we love those that we cannot have?
141	Friday is the new Thursday
142	Yeahh cenare lo mismo qe Rosher! ok ok Roger  wiii
143	http://twitpic.com/4wgp2 - Bambi will eat you
144	Happy Mothers Day to all the mums in my life and those that are not
145	@JayresC: n u can't change your profile backgroud neither
146	So much for just an oil change... Do not pass Go, do not collect $200, lose $160
147	@erinmmoore if we actually watch it, yes we can admit it... our popular culture doesn't define our Christianity!
148	can't sleep without my routine &quot;before-bed snack&quot;, but  to find that it comes along with a fatfat tummy.
149	ipod died today
150	is spending her Saturday morning taking notes for a research essay because some stupid whore recalled the book I'm using. Not fair
151	O'Charleys? Pretty good. Especially when its free. Hot waitress? I think so. Back to work? Unfortunately.
152	@projectcloud pinched nerve
153	@natdcook hey you, honey bear! Don't goooooooo  puhleeezeee..
154	people in my house do not know how to close doors
155	@DrRus @BruceBrownNC Good morning, gents!  How are ya today?
156	@m1dnightc1ty I do too!! Sounds interesting
157	disappointed! I forgot to tweet something really inappropriate @graphicphantom yelled in whole foods yesterday &amp; now I can't remember it.
158	WTF? Twitter doesnt support messages from my phone -I wanted to be able to Twit while on vacay.   Poo on you Twitter
159	@ash_786 It's no secret I'm an apple boy! Have considered the iphone dark side MANY times
160	Missing Everyone
161	Caught in a herd of somalions
162	@_danni haha that's the stupid thing, I did and I'm still getting them &gt;:]
163	Jeff can't get his visa in time to come visit me!    I'm so sad.  In other news, I'm going to Lapa tonight to samba the night away.
164	Had Sbarro for dinner and Krispy Kreme for dessert. Mmmmm! But so not very healthy.
165	..my mother just WON the City of Terrell, Texas District 2 'City Council' Seat  ..i'm M.i.A lol HAPPY MOTHERS DAY
166	happy mothers day!
167	@joycecherrier Awww. Don't mean to sound like an overgrown age 37 baby, but I'm still stick. Not as bad as yesterday, but still bad.
168	sooo tired of this cubicle
169	@NadavS Cant wait to do some of those things
170	@AugustGrrl oh no! Whats up chuck?
171	@bruceswalker   Hi Bruce  I am trying to eat healthy!  It's kinda scary when I read &quot;Eat this Not that&quot;  maggots and rat hair in our food
172	@JessicaSimpson I've been a fan of yours for years and you have been such an inspiration to me. You're truly my idol  Best wishes to you
173	@dorkybarb There are currently 0 penguins at the MN zoo...  but we can go sometime soon.
174	wants to welcome @melizadeleon: back to Plurk again!  http://plurk.com/p/rp5po
175	Packing for Florida  What's the liquids in a carry-on rule - 3 or 4 oz? Haven't flown in over a year
176	@mcraddictal
177	@Lesley_M make sure you watch in HD
178	My back is killing me...  It won't keep me from dropping it low...hope I got someone to pick it back up tho... LOL
179	@HannaG87  There you go.
180	all alone on a friday night
181	Downside to being on client site... no donut today.
182	Happy Mother's Day everyone
183	stood on my curlers and burnt myself  then burnt my hand when i picked them up..
184	Squabbling with people over the internet is great for my Tumblarity, but bad for my ego when they have more internet friends than me
185	@aldenpolicar good day sir. I'm hungry!
186	@TheSims3 well us Brits have to wait a few more days for it!  I thought it was all gonna realized at once! I guess it's worth the wait!
187	in edinburgh. just had a chinese yum! better take wee haggis out hes cryin at me   dunno y tho xox
188	@boomerous Discrimination is not a bad thing. I've learned to say no. My children would say I mastered that years ago
189	@matheusmr sejaaaaa beeeem vindo meu anjo
190	I think the rain killed my phone
191	@Zo_E Aw. well im sorry you don't like July for those reasons
192	Ready, Set.... hmmm DELAY
193	Happy Mother's Day to all the moms out there!
194	@caitymarie I'm not off till 930
195	less than 1 month and im done with high school... ohh my!  my friends
196	@scodal  yeah I saw, looks like hard work, But I would know  whats upp handsome
197	it is so cute watching Matt play with the Wii as I do some work
198	(@ohmyjade) 1-Pendulum = awesome! 2-Goodbyes suck  3-Shut up plz. 4-Toy Story 3!!  5-JB 3D MOVIE 2MORO! 6-I'm tired. 7-Aaaand I'm out.
199	@JackAllTimeLow I wish I could go to your melbourne show but my parents won't let me  *cries*
200	Going to the dirt track races w Aaron. Having a really good hair day! wish I could wear makeup though
201	Fudge.... Just BS'd that whole paper.... So tired.... Ugh I hate school.....  time to sleep!!!!!!!!!!!
202	Wonderful day for my photo practicum of the Fotoschool. I wouldn't mind some typical Dutch clouds though
203	@acinerba Oh man, that sux... price u pay for being on the org chart (and responsible, and stuff...)
204	@heidimontag It was wonderful, just home from a wedding. I love it   How was youre's?
205	@MaryCateOMalley Like the Simpsons? That's like asking, &quot;so you like breathing?&quot;
206	@homeandhosed :O goodness, i havn't heard it. i lovelovelove her old stuff though, the overture the underscore is the best album i think
207	really rather drunk  drunk thoughts - how am i getting to work tomorrow?! is loz alive?! does gandhi read comic books?! we will never know
208	I'm really full and I feel sick
209	Yaaaaaaay, bday!
210	Loving the new skype! Especially for someone like me who lives half a world away from home!
211	@jackalltimelow I just got my JAGK shirt in the mail! Omg I love it!!!  see you saturday!!
212	... lunch is no fun when you have nothing to eat.
213	hoping it will rain again because it's sooo warm
214	@Darcevarchy Re novel - will keep you posted
215	@oyfreakinvey rofl
216	In 24hrs time I will be at uni waiting to start my 1st exam, scary. I am working hard this morning though, and feeling ok about it atm
217	This wraps it up. Well, again a lesson that you shouldn't take nude photos of yourself when you're famous. Or maybe you really should!
218	@Paigex3 hah yeah, its that bad, not gonna lie. :o Have fun
219	@medic60 all work, no play.
220	@BeateVeronica I'm jealous - I would love deer steak. One of the downsides of having an almost vegetarian and a carnivore living together
221	@OnyXx_B all the shows are sold out  so I have to wait til tomorrow or sunday...
222	@Nessie__Cullen_ lol  emmett wont do a dance off again
223	@DirtyRose17  told you, you would sweep haha :-p
224	@HeroBeth That was my entire week!! I didn't get to design once while at my GRAPHIC DESIGN job, only at home doing freelance. Sad.
225	@Helena210 No one to rub it in
226	Good morning everyone! It's back to work for me - so won't be able to chat until tonight - I hope everyone has a great day!
227	Off to the banks to get this thing rolling! Hooray for days off!
228	@RetroRewind ty for feeding our NK addiction..ermm i mean our uhh nope yup addiction covers it
229	Morning.. Coffee and fresh air
230	@sevenspoons I like mine green  Just somehow doesn't taste minty otherwise .. heh heh.
231	@Farung now Eating and meeting at the same time sigh well well I want to start work out too but will have to wait move to my new house
232	@momebie omginorite! I'd be all fancy and tophatted all the time, it's really too bad I can't grow a handlebar moustache..
233	@kasey79 good night
234	Is getting upset at work cus bindz and j are being bullies  and they won't let me go duty free shopping!
235	The scream of sirens, and three fire trucks going south bound on the highway = I will not get home before 7.
236	@Ethan2Rock Thanks for the heads up, Ethan. Watching it now
237	@cosmicxpress cheers we will defo give you a call
238	@CVJason @MINDY979 @inotherwords_c @scrapplesandwic @thenewnicole @Sweettreat Thank you for the FFs my friends!
239	Symantec Ghost image corruption is making me cry
240	@Frozen2theSword YAY! Hope your day at work is wonderful, Sis! We have a Bank Holiday in England today so everyone is off work
241	@damohopo @StephanieEllen If I told you how often I wash my hair you would never speak to me again
242	@lu_lu I must be getting old and bent: that is the second thing you've said in the last couple of days that has not really been a turnon
243	@meredithhawkins Aww nice
244	enjoying listening to the rain fall as I prepare for a conference call at work.... a meeting later today, then to relax tonight
245	Wishes she had a pool
246	@Dollburrell Ooh, cutting. I like you
247	Probably the best birthday I've ever had. I got to spend it with all my favorite people.
248	@Brandi408 thank you!
249	@Jordanbrown Get her Clogging Shoes
250	@NightRPStar I don't think so. We just hired someone for that.
251	@Welshracer I loved him and he was in a mini
252	) no more Chemistry!!! I'm gonna choose English. I find it (Chem.) kinda boring in the end! gonna help people &lt; who choose Chem&gt;
253	@addisontodd um hi. Good morning. Rough night?
254	about to play my first game of apple to apples!!   wish me luck...
255	@Mollieandme When oh when are you coming back for a gig in Scotland? I had tickets to see u last year but was in hosp wit gallstones!
256	http://www.youtube.com/Lillysan I found out this morning I got 800+ subscribers! Thx!  Check on Lillysan Awards! xx Li
257	http://twitpic.com/4jalj - Morning world. #healthyliving update. Weight this morning 82.1kg (12st 12lbs) Going in right direction
258	@Bunny90san ooo... No I believe they've all closed down, even the ones at the airport
259	@JohnhampsonUK Oh very nice! I hope you have a wonderfully relaxing day!
260	@jaybranch You too, remember the kids' grenades will go off again as soon as you've tidied the house
261	bought my dress yesterday!!  Only 12 more days til Chris is home. So excited! Gavin has his first tooth
262	So I'm REALLY considering it at the moment  Same days but even more money. Harder work though but can't imagine harder than I do now.
263	@kheiny so the beneath show got cancelled BUMMER! i guess i wont see you til cornerstone  who are you goign with?
264	About to venture forth to Turkey Creek &amp; fetch the boy after his post prom festivities. Hope he had fun
265	off to bed I go..have a great Mom's Day all you moms!
266	Well thats that then. Exam failed and bsc gone
267	@HoptonHouseBnB now theres a thought .... do you still get goldfish at the fair ?? not seen them for years
268	@catrionat7 Yes yes Is. Ima Guna Be On For a While Lol.
269	I have one less follower  That makes me sad and I feel like my life is dull and uninteresting.
270	@loveyoumoreMJ unfortunately I'm not drunk enough lol and have no money to get drunk  I have had alot though as u can imagine haha
271	@crunchmonkey78 well i just got home and its not on till tmw at 530p but with comcast its on right now  but i didnt miss it
272	@LaneySmiles you know you lvoe me!
273	@evatweets feel better soon! Your immune system must be away on holiday somewhere... probably with mine
274	Off to the bank
275	I hadn't realised how Long it had been since I was last 'tweeting'... Now I'm on here I don't know what to say  x
276	@emaxio still @ the courthouse!     Happy to have a job... sad its this one!
277	@neestaples Thx for FF  #followfriday
278	im so tired, we have a great time today together, thanks for all
279	@DJMagic aww i'm sorry!! I was rushing around on my lunch break so I didn't even think of it!!
280	@dean_b BF @ gig in Portland OR.  That's not driving distance to come save me from Burbank. I stuck ATM.  Working on plan B
281	Now standing because my tailbone is killing me
282	At Home Depot and no one will help me load my plywood into my van for some reason.
283	happy mothers day, too all mums out there  remember treat your mum well, she brought you into this life =]
284	I am new here
285	@Janit thankyou sugaaar  btw I'll leave this town on 7, really hope could see you next time ya ra. Skrg sempit bgt sih waktunya ya
286	@stephmccall ugh I'm more worried about history on wednesday  I'm freaking out about it so much!
287	I don't know what to do about tomorrow
288	studying for my exam tomorrow @ 2 &amp; packin up!
289	@ElvisHsiao  The website I'm developing - http://woo.sh lets you also share Videos, documents, maps and events - Later music too
290	@HlywdScrnwriter I've thought about it several times . got a few good friends there!
291	Everytime i have a bruise, @marcuselzey can't stop hitting it on accident.
292	@dagadong  probably why he's still married to Joan perhaps?
293	@Sobbee Naw.. it was pretty tame. Only 1 guy in costume.. a Voyager-style &quot;medical&quot; uni. Disappointed there weren't any more in costume.
294	cant wait for thursday!
295	@lowestformofwit
296	Gotta work.  Lonely weekend ahead.
297	Has finally learned how to think before he speaks. And it works wonders
298	In the middle of breakfast the school called.Yep...back to get Shey...AGAIN.3rd migraine this week or maybe one that never went away
299	@melissagreen http://twitpic.com/4wsk3 - too cute
300	Having a (Y) weekend with Karen. Off to Swansea today
301	I should probally bring a box of kleenex to schoool today, I'm going to cry so much
