Text,topics/keywords,review/opinion/feedback
"After checking the result of my xray, told me I'm ok (that the doctor won't prescribe me medicines because I won't need it, which his alright with me) then the doctor handed me my discharge papers but did not tell me what should I do. ",I,"[ok, medicines, papers, what]"
"After checking the result of my xray, told me I'm ok (that the doctor won't prescribe me medicines because I won't need it, which his alright with me) then the doctor handed me my discharge papers but did not tell me what should I do. ",doctor,"[ok, medicines, papers, what]"
"After checking the result of my xray, told me I'm ok (that the doctor won't prescribe me medicines because I won't need it, which his alright with me) then the doctor handed me my discharge papers but did not tell me what should I do. ",I,"[ok, medicines, papers, what]"
"After checking the result of my xray, told me I'm ok (that the doctor won't prescribe me medicines because I won't need it, which his alright with me) then the doctor handed me my discharge papers but did not tell me what should I do. ",doctor,"[ok, medicines, papers, what]"
"After checking the result of my xray, told me I'm ok (that the doctor won't prescribe me medicines because I won't need it, which his alright with me) then the doctor handed me my discharge papers but did not tell me what should I do. ",I,"[ok, medicines, papers, what]"
after confirming with the nurse what pharmacy to call my meds to the nurse still called the meds to the wrong pharmacy.,pharmacy,"[what, meds]"
"After discussing the issues with the nurse (male nurse), the nurse said the nurse would make his report and give to the doctor.",nurse,[report]
"After discussing the issues with the nurse (male nurse), the nurse said the nurse would make his report and give to the doctor.",nurse,[report]
"After follow up with primary pedi, primary pedi stated a blood test should have been done.",pedi,[]
"After getting all my information, the doctor was kind enough to ask if I would like something to drink.",doctor,[something]
"After getting all my information, the doctor was kind enough to ask if I would like something to drink.",I,[something]
"again, blonde nurse in pediatric er was fantastic the nurse thoroughly explained everything to us.",nurse,"[fantastic, everything]"
"again, blonde nurse in pediatric er was fantastic the nurse thoroughly explained everything to us.",nurse,"[fantastic, everything]"
again I can't say enough everyone was great my son had never had a IV and the staff were so gentle with him,I,"[enough, great, IV, gentle]"
again I can't say enough everyone was great my son had never had a IV and the staff were so gentle with him,everyone,"[enough, great, IV, gentle]"
again I can't say enough everyone was great my son had never had a IV and the staff were so gentle with him,son,"[enough, great, IV, gentle]"
again I can't say enough everyone was great my son had never had a IV and the staff were so gentle with him,staff,"[enough, great, IV, gentle]"
"Again Sagel Pekof or however you spell her name, she has a nose piercing, was quite rude and talked down to me as if a child, and tried to say if I kept up with a pain doctors medications Sagel Pekof would take away what I needed for anxiety, I do not need to be treated like a child and Sagel Pekof is the worst doctor I have seen at Allina. ",you,"[name, Pekof, nose, what]"
"Again Sagel Pekof or however you spell her name, she has a nose piercing, was quite rude and talked down to me as if a child, and tried to say if I kept up with a pain doctors medications Sagel Pekof would take away what I needed for anxiety, I do not need to be treated like a child and Sagel Pekof is the worst doctor I have seen at Allina. ",she,"[name, Pekof, nose, what]"
"Again Sagel Pekof or however you spell her name, she has a nose piercing, was quite rude and talked down to me as if a child, and tried to say if I kept up with a pain doctors medications Sagel Pekof would take away what I needed for anxiety, I do not need to be treated like a child and Sagel Pekof is the worst doctor I have seen at Allina. ",I,"[name, Pekof, nose, what]"
"Again Sagel Pekof or however you spell her name, she has a nose piercing, was quite rude and talked down to me as if a child, and tried to say if I kept up with a pain doctors medications Sagel Pekof would take away what I needed for anxiety, I do not need to be treated like a child and Sagel Pekof is the worst doctor I have seen at Allina. ",Pekof,"[name, Pekof, nose, what]"
"Again Sagel Pekof or however you spell her name, she has a nose piercing, was quite rude and talked down to me as if a child, and tried to say if I kept up with a pain doctors medications Sagel Pekof would take away what I needed for anxiety, I do not need to be treated like a child and Sagel Pekof is the worst doctor I have seen at Allina. ",I,"[name, Pekof, nose, what]"
"Again Sagel Pekof or however you spell her name, she has a nose piercing, was quite rude and talked down to me as if a child, and tried to say if I kept up with a pain doctors medications Sagel Pekof would take away what I needed for anxiety, I do not need to be treated like a child and Sagel Pekof is the worst doctor I have seen at Allina. ",I,"[name, Pekof, nose, what]"
"Again Sagel Pekof or however you spell her name, she has a nose piercing, was quite rude and talked down to me as if a child, and tried to say if I kept up with a pain doctors medications Sagel Pekof would take away what I needed for anxiety, I do not need to be treated like a child and Sagel Pekof is the worst doctor I have seen at Allina. ",I,"[name, Pekof, nose, what]"
Again the doctor was professional and courteous,doctor,[professional]
"again, the doctor was THE VERY BEST",doctor,"[BEST, BEST]"
"again, the doctor was THE VERY BEST",THE,"[BEST, BEST]"
again the doctor was very professional.,doctor,[professional]
again the doctor was very professional and courteous,doctor,[professional]
"Again the doctor was very,very Professional",doctor,[Professional]
"All bad, the doctor spoke down to me, offered me ultimatums when using certain medications, she was talking down to me like a child.",doctor,[bad]
"All bad, the doctor spoke down to me, offered me ultimatums when using certain medications, she was talking down to me like a child.",she,[bad]
Allie is very friendly and professional.,Allie,[friendly]
all staff showed concern for me as a person.,staff,[concern]
all staff were courteous,staff,[courteous]
All staff were courteous and efficient.,staff,[courteous]
"All through the time I was there APNP Kristina Krogstad kept that attitude and made me laugh, if she is this way with All her patients, especially children, then the rest of the staff should learn her way of treating patients",I,"[Krogstad, way, way]"
"All through the time I was there APNP Kristina Krogstad kept that attitude and made me laugh, if she is this way with All her patients, especially children, then the rest of the staff should learn her way of treating patients",me,"[Krogstad, way, way]"
"All through the time I was there APNP Kristina Krogstad kept that attitude and made me laugh, if she is this way with All her patients, especially children, then the rest of the staff should learn her way of treating patients",she,"[Krogstad, way, way]"
"All through the time I was there APNP Kristina Krogstad kept that attitude and made me laugh, if she is this way with All her patients, especially children, then the rest of the staff should learn her way of treating patients",rest,"[Krogstad, way, way]"
"Although the staff miss diagnosed her, everyone was nice.",staff,[nice]
"Although the staff miss diagnosed her, everyone was nice.",miss,[nice]
"Although the staff miss diagnosed her, everyone was nice.",everyone,[nice]
and the hygenist seems to have a case of the sniffles which turned me off),hygenist,[]
and the hygenist seems to have a case of the sniffles which turned me off),which,[]
Arlene also gives a great IM injection.,Arlene,[injection]
As a first time mother the doctor made me feel like I shouldn't bring my child back here .,doctor,"[mother, child]"
As a first time mother the doctor made me feel like I shouldn't bring my child back here .,me,"[mother, child]"
As a first time mother the doctor made me feel like I shouldn't bring my child back here .,I,"[mother, child]"
Ashley offered many helpful suggestions.,Ashley,[suggestions]
Ashley's the reason I continue with this office.,I,[]
Ashley was so very nice & provided me with proper information when checking in! ,Ashley,[nice]
As in we did not feel confident in the office's decision to not treat the issue.,we,[confident]
A=The doctor nearly always seem to be very knowlgeable in the medical specialty I've needed at that moment.,doctor,[]
A=The doctor nearly always seem to be very knowlgeable in the medical specialty I've needed at that moment.,I,[]
Attentive and good at what the staff do.,staff,[what]
Ava could not eat or drink due to her situation.  ,Ava,[]
"Barrett went above and beyond the call of duty, I forgot my paperwork in the lobby and he retrieved it for me.",Barrett,[paperwork]
"Barrett went above and beyond the call of duty, I forgot my paperwork in the lobby and he retrieved it for me.",I,[paperwork]
"Barrett went above and beyond the call of duty, I forgot my paperwork in the lobby and he retrieved it for me.",he,[paperwork]
best practice I have been to,I,[practice]
Charla had confidence in my abilities and was sure to praise all of my hard work especially when I made huge leaps and bounds in my progress,Charla,"[confidence, leaps]"
Charla had confidence in my abilities and was sure to praise all of my hard work especially when I made huge leaps and bounds in my progress,I,"[confidence, leaps]"
Christina took her time and was very pleasant,Christina,[time]
CitiMD is a pretty good alternative though.,CitiMD,[alternative]
CityMed is facility of choice.,CityMed,[facility]
Connie is i good listener and was intuitive with my needs.,Connie,"[listener, listener]"
Connie is i good listener and was intuitive with my needs.,i,"[listener, listener]"
Corbin was very friendly and eased my anxiety.,Corbin,[friendly]
Curtis explained everything in words we understand and he is very smart intelligent therapist,Curtis,"[everything, therapist]"
Curtis explained everything in words we understand and he is very smart intelligent therapist,we,"[everything, therapist]"
Curtis explained everything in words we understand and he is very smart intelligent therapist,he,"[everything, therapist]"
Dania Saleh also seemed to be very helpful to the Doctor during my exam; both were very calm and kept me well informed,Saleh,[calm]
Dania Saleh also seemed to be very helpful to the Doctor during my exam; both were very calm and kept me well informed,both,[calm]
"Dania Saleh is super helpful, very thorough and incredibly kind.",Saleh,[helpful]
"David Duchene was very friendly, courteous and very helpful.",Duchene,[friendly]
Dawna is very attentive and caring to my concerns.,Dawna,[attentive]
Dee Dee is pleasant and very down to earth.,Dee,[pleasant]
Dee Dee is professional.,Dee,[professional]
Doctor and the nurses all were wishing me well and to feel better.,Doctor,[]
doctor was very thorough and detailed. ,doctor,[thorough]
Dr. Amusa took her time and made sure that my daughter understood and that I was aware of what the treatment would be. ,Amusa,"[time, aware, what]"
Dr. Amusa took her time and made sure that my daughter understood and that I was aware of what the treatment would be. ,daughter,"[time, aware, what]"
Dr. Amusa took her time and made sure that my daughter understood and that I was aware of what the treatment would be. ,I,"[time, aware, what]"
Dr. Amusa took her time and made sure that my daughter understood and that I was aware of what the treatment would be. ,treatment,"[time, aware, what]"
"Dr. Carol Tong Ow diagnosed my problem, ordered relevant follow-up tests and an appropriate prescription, within a few days I was feeling much better.",Ow,"[problem, better]"
"Dr. Carol Tong Ow diagnosed my problem, ordered relevant follow-up tests and an appropriate prescription, within a few days I was feeling much better.",I,"[problem, better]"
Dr. Cheng was very caring and professional with high skills.,Cheng,[caring]
Dr. Colombo made me feel very comfortable and made me want to come back to see him again. ,Colombo,[comfortable]
Dr. Colombo made me feel very comfortable and made me want to come back to see him again. ,me,[comfortable]
Dr. Colombo made me feel very comfortable and made me want to come back to see him again. ,me,[comfortable]
Dr. Colombo showed his concerns not only with eye contact but with his words.,Colombo,[concerns]
Dr David G was great,G,[great]
Dr David G was kind and caring and very quick. ,G,[kind]
Dr. Eppes is upbeat and not dismissive.,Eppes,[upbeat]
Dr explained everything completely.,Dr,[everything]
Dr. Fanta showed concern and asked questions to help him understand my situation.,Fanta,"[concern, situation]"
Dr. Fanta showed concern and asked questions to help him understand my situation.,him,"[concern, situation]"
Dr. G changed a lot of my perception about coming to the walk-in clinic.,G,[lot]
"Dr. Gohrbani  always asks if I'm doing ok, or if I'm feeling any pain, etc.",Gohrbani,[pain]
"Dr. Gohrbani  always asks if I'm doing ok, or if I'm feeling any pain, etc.",I,[pain]
"Dr. Gohrbani  always asks if I'm doing ok, or if I'm feeling any pain, etc.",I,[pain]
"Dr. Gohrbani explains what's going to be done before beginning, and as she proceeds. ",Gohrbani,[]
"Dr. Gohrbani explains what's going to be done before beginning, and as she proceeds. ",what,[]
"Dr. Gohrbani explains what's going to be done before beginning, and as she proceeds. ",she,[]
"Dr. Gomez completely took care of the issue, was kind and patient.",Gomez,[care]
"Dr. G was easy to talk to, pragmatic, attentive as well as very caring.",G,[easy]
Dr Hartzell made things clear,Hartzell,[clear]
Dr. Joshi and Michelle helped ease my experience,Joshi,[]
Dr. Joshi thoroughly explained her examination and provided details of treatment and future prevention. ,Joshi,[examination]
Dr. Kennett was knowledgeable and I appreciated the time she took to understand my concerns and explain to me - step by step - what she was doing.,Kennett,"[knowledgeable, time, what]"
Dr. Kennett was knowledgeable and I appreciated the time she took to understand my concerns and explain to me - step by step - what she was doing.,I,"[knowledgeable, time, what]"
Dr. Kennett was knowledgeable and I appreciated the time she took to understand my concerns and explain to me - step by step - what she was doing.,she,"[knowledgeable, time, what]"
Dr. Kennett was knowledgeable and I appreciated the time she took to understand my concerns and explain to me - step by step - what she was doing.,she,"[knowledgeable, time, what]"
"Dr. Kennett wound up drawing my blood and was so gentle, I didn't even flinch and didn't have any mark from the needle; I am someone who usually bruises.  ",Kennett,[someone]
"Dr. Kennett wound up drawing my blood and was so gentle, I didn't even flinch and didn't have any mark from the needle; I am someone who usually bruises.  ",I,[someone]
"Dr. Kennett wound up drawing my blood and was so gentle, I didn't even flinch and didn't have any mark from the needle; I am someone who usually bruises.  ",I,[someone]
"Dr. Kennett wound up drawing my blood and was so gentle, I didn't even flinch and didn't have any mark from the needle; I am someone who usually bruises.  ",who,[someone]
Dr King listened to what I had to say.  ,King,[]
Dr King listened to what I had to say.  ,I,[]
Dr. Lawrence's demeanor made me think he was simply waiting for me to finish speaking.,demeanor,[]
Dr. Lawrence's demeanor made me think he was simply waiting for me to finish speaking.,me,[]
Dr. Lawrence's demeanor made me think he was simply waiting for me to finish speaking.,he,[]
Dr. Lawrence's demeanor made me think he was simply waiting for me to finish speaking.,me,[]
Dr. Lerman is definitely the shining star.,Lerman,[star]
Dr. Lyon made me feel I was important and he cared,Lyon,[important]
Dr. Lyon made me feel I was important and he cared,me,[important]
Dr. Lyon made me feel I was important and he cared,I,[important]
Dr. Lyon made me feel I was important and he cared,he,[important]
Dr. Meonch was really helpful and caring.,Meonch,[helpful]
Dr Moon did put in a temporary filling on a cap of the tooth that had a root canal but afterwards did not examine the rest of my teeth as is routinely done after a cleaning.,Moon,"[filling, canal]"
Dr Moon did put in a temporary filling on a cap of the tooth that had a root canal but afterwards did not examine the rest of my teeth as is routinely done after a cleaning.,that,"[filling, canal]"
Dr. Neil is knowledgeable and put our daughter at ease. ,Neil,[knowledgeable]
dr. Purvi didn't check child throughly instead concluded that it was ear infection before finishing the exam. ,Purvi,"[child, ear]"
dr. Purvi didn't check child throughly instead concluded that it was ear infection before finishing the exam. ,it,"[child, ear]"
Dr. Stephen isolated my condition.,Stephen,[condition]
"Dr. Sugar is knowledgeable, a wealth of information and plenty charismatic. ",Sugar,"[knowledgeable, wealth]"
Dr. Vazquez was very patient and took the time to explain how I should take the medicine and  how to care for my foot injury,Vazquez,"[patient, medicine]"
Dr. Vazquez was very patient and took the time to explain how I should take the medicine and  how to care for my foot injury,I,"[patient, medicine]"
"Dr. Vinny D'Amore was so kind and patient, it felt like a medical concierge service. ",D'Amore,[kind]
"Dr. Vinny D'Amore was so kind and patient, it felt like a medical concierge service. ",it,[kind]
Emily took the time to listen to all my questions.,Emily,[time]
Erin was super nice and took plenty of time with me,Erin,[nice]
"Excellent care, the doctor has great personality and explained treatment thoroughly.",doctor,"[care, personality]"
Explained everything the provider was to do and again as the provider did it. ,provider,[]
Explained everything the provider was to do and again as the provider did it. ,provider,[]
fair because did not tell me what the doctor thought the issue was,doctor,[what]
fair because did not tell me what the doctor thought the issue was,issue,[what]
had the NP cared enough to listen or come talk to me the NP could have come up with a better plan.,NP,[]
had the NP cared enough to listen or come talk to me the NP could have come up with a better plan.,NP,[]
Hope the Dr. is my Dr. if ever needed,Dr.,[Dr.]
I am very pleased and happy to have Dr Dougherty on the team!,I,[pleased]
I appreciate Candace Alexander and the service she provides.,I,[Alexander]
I appreciate Candace Alexander and the service she provides.,she,[Alexander]
I asked for a doctor's note for my boss and discharge staff gave me fast.  ,I,[]
I asked the nurse to wait a moment I had a question and the nurse sighed and slowly turned around and was very rude and put out.,I,"[nurse, question]"
I asked the nurse to wait a moment I had a question and the nurse sighed and slowly turned around and was very rude and put out.,I,"[nurse, question]"
I asked the nurse to wait a moment I had a question and the nurse sighed and slowly turned around and was very rude and put out.,nurse,"[nurse, question]"
"I believe once the hygienist told Dr Moon I was going to see the previous dentist, Dr Knight, at another facility Dr Moon was just done with me. ",I,[Moon]
"I believe once the hygienist told Dr Moon I was going to see the previous dentist, Dr Knight, at another facility Dr Moon was just done with me. ",hygienist,[Moon]
"I believe once the hygienist told Dr Moon I was going to see the previous dentist, Dr Knight, at another facility Dr Moon was just done with me. ",I,[Moon]
"I believe the diagnosis was, because there is a marked improvement and I have made an appointment to secure a private physician next week.",I,[appointment]
"I believe the diagnosis was, because there is a marked improvement and I have made an appointment to secure a private physician next week.",diagnosis,[appointment]
"I believe the diagnosis was, because there is a marked improvement and I have made an appointment to secure a private physician next week.",I,[appointment]
I cannot thank the nurses enough.,I,[nurses]
I do not like how Sagel Pekof treats me as a person and Sagel Pekof had no right to try and give me ultimatums.,I,[]
I do not like how Sagel Pekof treats me as a person and Sagel Pekof had no right to try and give me ultimatums.,Pekof,[]
"I do want to stress that Dr. Lawrence was very professional throughout our entire interaction, just distant and gave the appearance of being uninterested.",I,"[professional, distant]"
"I do want to stress that Dr. Lawrence was very professional throughout our entire interaction, just distant and gave the appearance of being uninterested.",Lawrence,"[professional, distant]"
"I especially appreciate Jase Abraham made me feel, and even told me, that he had all the time in the world for my questions, concerns, everything.",I,[time]
"I especially appreciate Jase Abraham made me feel, and even told me, that he had all the time in the world for my questions, concerns, everything.",Abraham,[time]
"I especially appreciate Jase Abraham made me feel, and even told me, that he had all the time in the world for my questions, concerns, everything.",me,[time]
"I especially appreciate Jase Abraham made me feel, and even told me, that he had all the time in the world for my questions, concerns, everything.",he,[time]
I have yet to evaluate the dentist.,I,[]
I liked Dr. Fanta very much and he was very compassionate and personable.,I,"[Fanta, compassionate]"
I liked Dr. Fanta very much and he was very compassionate and personable.,he,"[Fanta, compassionate]"
I looked at my daughter and told her i thought the nurse WAS the doctor. ,I,[doctor]
I looked at my daughter and told her i thought the nurse WAS the doctor. ,i,[doctor]
I looked at my daughter and told her i thought the nurse WAS the doctor. ,nurse,[doctor]
I love everything about City MD and I tell everyone!,I,"[everything, everyone]"
I love everything about City MD and I tell everyone!,I,"[everything, everyone]"
I'm guessing Dr. Lopez's a hit with the kids!,I,[hit]
I'm so glad we were able to sleep at our babies bedside while he was there and that we didn't have to leave him at night if we didn't want to. ,I,"[glad, able]"
I'm so glad we were able to sleep at our babies bedside while he was there and that we didn't have to leave him at night if we didn't want to. ,we,"[glad, able]"
I'm so glad we were able to sleep at our babies bedside while he was there and that we didn't have to leave him at night if we didn't want to. ,he,"[glad, able]"
I'm so glad we were able to sleep at our babies bedside while he was there and that we didn't have to leave him at night if we didn't want to. ,we,"[glad, able]"
I'm so glad we were able to sleep at our babies bedside while he was there and that we didn't have to leave him at night if we didn't want to. ,we,"[glad, able]"
I'm very disappointed in the way Laura acted.,I,[disappointed]
I'm very disappointed in the way Laura acted.,Laura,[disappointed]
 I should have taken the patient myself,I,[patient]
I told her that I was truly impressed of how Dr. Patel connected with her payient.,I,[impressed]
I told her that I was truly impressed of how Dr. Patel connected with her payient.,I,[impressed]
I told her that I was truly impressed of how Dr. Patel connected with her payient.,Patel,[impressed]
I tried having small talk with the doctor but he seemed very timid or shy not sure what was wrong with him.,I,"[timid, sure, wrong]"
I tried having small talk with the doctor but he seemed very timid or shy not sure what was wrong with him.,he,"[timid, sure, wrong]"
I tried having small talk with the doctor but he seemed very timid or shy not sure what was wrong with him.,what,"[timid, sure, wrong]"
it was obvious that the male nurse genuinely cared for the patients comfort.,it,[obvious]
it was obvious that the male nurse genuinely cared for the patients comfort.,nurse,[obvious]
 Ive had and seen many IVs removed but this was the most rough I've ever experienced as I watched the nurse pretty much tear the line out of Emilia's hand.,I,"[rough, tear]"
 Ive had and seen many IVs removed but this was the most rough I've ever experienced as I watched the nurse pretty much tear the line out of Emilia's hand.,this,"[rough, tear]"
 Ive had and seen many IVs removed but this was the most rough I've ever experienced as I watched the nurse pretty much tear the line out of Emilia's hand.,I,"[rough, tear]"
 Ive had and seen many IVs removed but this was the most rough I've ever experienced as I watched the nurse pretty much tear the line out of Emilia's hand.,I,"[rough, tear]"
I very much enjoyed having Danielle Villa treat me even though was unavoidably painful.,I,[]
I very much enjoyed having Danielle Villa treat me even though was unavoidably painful.,Villa,[]
I was delighted with Dr. Matthew and his care.,I,[delighted]
I was very impressed with the doctor.,I,[impressed]
I went back to work and told everyone to go the office when they are sick.,I,[sick]
I went back to work and told everyone to go the office when they are sick.,they,[sick]
I will be using the doctor in the future.,I,[doctor]
I will definitely be back because of her  Angela made me feel right at home.,I,[]
I will definitely be back because of her  Angela made me feel right at home.,me,[]
I will request the doctor for future visits.,I,[doctor]
I wish Dr. Lerman was my child's full time pediatrician. ,I,[pediatrician]
I wish Dr. Lerman was my child's full time pediatrician. ,Lerman,[pediatrician]
I wish my usual doctor's office had such a lovely scribe like Dania Saleh. ,I,[scribe]
I wish my usual doctor's office had such a lovely scribe like Dania Saleh. ,office,[scribe]
I would give Brenda very good rating on all.,I,"[Brenda, rating]"
I would have Dr. Aladili as my regular Dr. and that's saying a lot. ,I,"[Aladili, lot]"
I would have Dr. Aladili as my regular Dr. and that's saying a lot. ,that,"[Aladili, lot]"
I would love to see Ashley on a return visit.,I,[]
I would recommend Dr. Manhanzel to anyone,I,[Manhanzel]
Laura also set us to see someone else but we ended coming back to get checked in with her because it wasn't work related but she would have known if she would have listen to us. ,Laura,[work]
Laura also set us to see someone else but we ended coming back to get checked in with her because it wasn't work related but she would have known if she would have listen to us. ,we,[work]
Laura also set us to see someone else but we ended coming back to get checked in with her because it wasn't work related but she would have known if she would have listen to us. ,it,[work]
Laura also set us to see someone else but we ended coming back to get checked in with her because it wasn't work related but she would have known if she would have listen to us. ,she,[work]
Laura also set us to see someone else but we ended coming back to get checked in with her because it wasn't work related but she would have known if she would have listen to us. ,she,[work]
Laura is the first person a patient talks to she should be the nicest. ,Laura,"[person, nicest]"
Laura is the first person a patient talks to she should be the nicest. ,talks,"[person, nicest]"
"Laura was very rude, didn't want to even listen to what we were trying to explain. ",Laura,[rude]
"Laura was very rude, didn't want to even listen to what we were trying to explain. ",we,[rude]
Laura was very unprofessional. ,Laura,[unprofessional]
"like I said, I came in when the staff should be going home and treated me so nicely!!",I,[]
"like I said, I came in when the staff should be going home and treated me so nicely!!",I,[]
"like I said, I came in when the staff should be going home and treated me so nicely!!",staff,[]
Mallory belittled my opinions and made me feel extremely sad.,Mallory,"[opinions, sad]"
Mallory belittled my opinions and made me feel extremely sad.,me,"[opinions, sad]"
MD spoke directly to my child  and explained things to my child so my child could understand.,MD,[]
MD spoke directly to my child  and explained things to my child so my child could understand.,child,[]
nd then the patient too sits while the staff fiddle around before getting her to a hospital.,patient,[fiddle]
Next visit Brook always had an answer.,Brook,[answer]
"No matter what decision I made about who was going to fill that cap with a permanent filling, it did not relieve Dr Moon from the obligation of perfoming an exam on me. ",I,"[decision, Moon]"
"No matter what decision I made about who was going to fill that cap with a permanent filling, it did not relieve Dr Moon from the obligation of perfoming an exam on me. ",who,"[decision, Moon]"
"No matter what decision I made about who was going to fill that cap with a permanent filling, it did not relieve Dr Moon from the obligation of perfoming an exam on me. ",it,"[decision, Moon]"
"No, No  - the ""nurse"" said - the ambulance is just about to arrive. ",nurse,[]
"No, No  - the ""nurse"" said - the ambulance is just about to arrive. ",ambulance,[]
No radiology but I did have bloodwork and the doctor was very good,I,"[bloodwork, good]"
No radiology but I did have bloodwork and the doctor was very good,doctor,"[bloodwork, good]"
Not saying the other doctors I've seen in the past didn't but Dr. Colombo was different.,I,[different]
Not saying the other doctors I've seen in the past didn't but Dr. Colombo was different.,Colombo,[different]
NP did not give very good instruction to the MA regarding my course of action once home.,NP,[instruction]
N the staff help me with my illness without the wait in er.,staff,[]
Nurse was Very Good.,Nurse,[Good]
One day had a cancelled appointment so spent extra time with me In my field I work with many PT's and Ashley is exceptional.,day,[appointment]
One day had a cancelled appointment so spent extra time with me In my field I work with many PT's and Ashley is exceptional.,I,[appointment]
Our child's life was in Dr. Chiu's hands.,life,[]
Paula Thomas cared for my baby as well as myself.,Thomas,[]
"personally, I'd picked the glove up and used it.",I,[glove]
