Text,topics/keywords,review/opinion/feedback
"Personel make sure I know I do it correctly,and what muscles they work on.",Personel,"[sure, muscles]"
"Personel make sure I know I do it correctly,and what muscles they work on.",I,"[sure, muscles]"
"Personel make sure I know I do it correctly,and what muscles they work on.",I,"[sure, muscles]"
"Personel make sure I know I do it correctly,and what muscles they work on.",they,"[sure, muscles]"
"Plus, Annamarie shows  the exercises and has me do them prior to leaving to ensure I am doing them correctly and completely understand.",Annamarie,[exercises]
"Plus, Annamarie shows  the exercises and has me do them prior to leaving to ensure I am doing them correctly and completely understand.",me,[exercises]
"Plus, Annamarie shows  the exercises and has me do them prior to leaving to ensure I am doing them correctly and completely understand.",I,[exercises]
Rekbecca Murray was excellent.,Murray,[excellent]
Sagel Pekof even left the room without regards to my question on nasal drip and the nurse had to run after Sagel Pekof and write what she said by hand on my end paperwork.,Pekof,"[room, drip, what]"
Sagel Pekof even left the room without regards to my question on nasal drip and the nurse had to run after Sagel Pekof and write what she said by hand on my end paperwork.,nurse,"[room, drip, what]"
Sagel Pekof even left the room without regards to my question on nasal drip and the nurse had to run after Sagel Pekof and write what she said by hand on my end paperwork.,she,"[room, drip, what]"
Seemed like the doctor just wanted to rush me out so the doctor could go home.,doctor,[]
short conversation and then never saw dr again.,conversation,[dr]
Staff were concerned were very courteous and professional.,Staff,[]
"system was really cool, but not necessary.",system,[cool]
The dentist was so pleasant,dentist,[pleasant]
The doctor actually showed me test results.,doctor,[results]
The doctor answered any questions and put me at ease. ,doctor,[questions]
The doctor answered questions fully and in a non-condescending manner,doctor,[questions]
The doctor apologized for the wait.,doctor,[]
The doctor basically sent us home with the worry that my child may have another seizure.,doctor,[seizure]
The doctor basically sent us home with the worry that my child may have another seizure.,child,[seizure]
The doctor clearly knew what she was doing and was courteous,doctor,[what]
The doctor clearly knew what she was doing and was courteous,she,[what]
The doctor communicated what was needed on a regular basis and made sure my questions were addressed.,doctor,[]
The doctor could have had a dialog as to the diagnosis and more explanation on prescriprd medication,doctor,[dialog]
The doctor couldn't help my particular problem but did call ahead to the Er about my immediate visit to that facility.,doctor,[problem]
The doctor could see when Alexis was upset and nervous and worked to make her relax.,doctor,[upset]
The doctor could see when Alexis was upset and nervous and worked to make her relax.,Alexis,[upset]
The doctor could see when Alexis was upset and nervous and worked to make her relax.,her,[upset]
The doctor did an amazing job!,doctor,[job]
The doctor did a very good job,doctor,[job]
The doctor did not like that. ,doctor,[]
The doctor did not make me feel at ease with the concerns with my daughter. ,doctor,[]
The doctor did not make me feel at ease with the concerns with my daughter. ,me,[]
The doctor didn't even notice tonsil stone in her throat.,doctor,[stone]
The doctor efficiently dressed my wounds.,doctor,[wounds]
The doctor explained beforehand what he wanted me to do,doctor,[what]
The doctor explained beforehand what he wanted me to do,he,[what]
The doctor explained beforehand what he wanted me to do,me,[what]
The doctor explained everything and gave me options.,doctor,[everything]
The doctor explained everything thoroughly so it was easy to understand and care when sending home,doctor,"[everything, easy]"
The doctor explained everything thoroughly so it was easy to understand and care when sending home,it,"[everything, easy]"
The Doctor explained the situation in a manner that was very comforting.,Doctor,"[situation, comforting]"
The Doctor explained the situation in a manner that was very comforting.,that,"[situation, comforting]"
The doctor exuded confidence and made me feel comfortable. ,doctor,"[confidence, comfortable]"
The doctor exuded confidence and made me feel comfortable. ,me,"[confidence, comfortable]"
"The doctor finished physical exam, left the room and never offered any information of any kind.  ",doctor,[exam]
The doctor gave options for treatment !,doctor,[options]
The doctor has such wonderful kindness,doctor,[kindness]
The doctor has very good kind patience. ,doctor,[patience]
The doctor is a credit to the profession.,doctor,[credit]
"The doctor is careful, honest and seemed knowledgeable",doctor,[careful]
The doctor is caring professional.,doctor,[professional]
The doctor is compassionate courteous.,doctor,[compassionate]
The doctor is concerned and very knowledgeable.,doctor,[]
The doctor is considerate of me.,doctor,[considerate]
The doctor is courteous,doctor,[courteous]
The doctor is courteous and kind,doctor,[courteous]
The doctor is courteous and polite,doctor,[courteous]
The doctor is courteous and professional,doctor,[courteous]
The doctor is courteous and professional.,doctor,[courteous]
"The doctor is courteous, prodessional, good communication",doctor,"[courteous, communication]"
"The doctor is courteous, professional, good listener",doctor,[listener]
The doctor is courtesious,doctor,[courtesious]
The doctor is courtesious and quick,doctor,[courtesious]
The doctor is down to earth and fun.,doctor,[]
The doctor is excellent and attentive,doctor,[excellent]
The doctor is excellent and caring,doctor,[excellent]
"The doctor is excellent, compassionate & knowledgeable.",doctor,[excellent]
"The doctor is excellent, kind, professional",doctor,"[excellent, professional]"
The doctor is friendly and warm.,doctor,[friendly]
The doctor is kind and patient,doctor,[kind]
"The doctor is kind, informative, and easy to talk to.",doctor,[kind]
"The doctor left the room without resolving my nose issue I had asked about so the nurse had to go ""catch her"" and write what I had asked her on my paperwork.",doctor,"[room, what]"
"The doctor left the room without resolving my nose issue I had asked about so the nurse had to go ""catch her"" and write what I had asked her on my paperwork.",I,"[room, what]"
"The doctor left the room without resolving my nose issue I had asked about so the nurse had to go ""catch her"" and write what I had asked her on my paperwork.",nurse,"[room, what]"
"The doctor left the room without resolving my nose issue I had asked about so the nurse had to go ""catch her"" and write what I had asked her on my paperwork.",I,"[room, what]"
The doctor listened and cared for me very well.,doctor,[]
The Doctor listened and that helped to ease our fears.,Doctor,[]
The Doctor listened and that helped to ease our fears.,that,[]
The doctor listened to everything I had to say and explained things thoroughly and asked if I had any questions.,doctor,[questions]
The doctor listened to everything I had to say and explained things thoroughly and asked if I had any questions.,I,[questions]
The doctor listened to everything I had to say and explained things thoroughly and asked if I had any questions.,I,[questions]
The doctor listened to everything I had to say and was not impatient at all.,doctor,[]
The doctor listened to everything I had to say and was not impatient at all.,I,[]
The doctor listened to me! ,doctor,[]
The doctor listened to my list of symptoms and explained her diagnosis and treatment plan.,doctor,[]
The doctor needs to work on bedside manners!,doctor,[]
The doctor put us at ease immediately  with her calm demeanor.,doctor,[]
The doctor rolled her eye and sighed when I asked questions she would not  listen to me or my concerns. ,doctor,"[eye, questions]"
The doctor rolled her eye and sighed when I asked questions she would not  listen to me or my concerns. ,I,"[eye, questions]"
The doctor rolled her eye and sighed when I asked questions she would not  listen to me or my concerns. ,she,"[eye, questions]"
 The doctor said the transfer was a normal procedure when someone has an active nosebleed.,doctor,"[procedure, nosebleed]"
 The doctor said the transfer was a normal procedure when someone has an active nosebleed.,transfer,"[procedure, nosebleed]"
 The doctor said the transfer was a normal procedure when someone has an active nosebleed.,someone,"[procedure, nosebleed]"
The doctor seemed a little frazzled when she came in to see me. ,doctor,[frazzled]
The doctor seemed a little frazzled when she came in to see me. ,she,[frazzled]
The doctor seemed to be short /rushed not very attentive or informative at all. ,doctor,[]
The doctor shared her insight and knowledge willingly,doctor,[insight]
The doctor showed great empathy me.,doctor,[]
The doctors were always available. ,doctors,[available]
"The doctor took the time to get acquanted with my daughter, playful, respectful, very patient",doctor,"[time, patient]"
The doctor took time with me and fully explained everything.,doctor,[time]
The doctor was amazing.,doctor,[amazing]
The doctor was angry with me that the equipment broke when it was brand new and I refused it.,doctor,"[angry, new]"
The doctor was angry with me that the equipment broke when it was brand new and I refused it.,equipment,"[angry, new]"
The doctor was angry with me that the equipment broke when it was brand new and I refused it.,it,"[angry, new]"
The doctor was angry with me that the equipment broke when it was brand new and I refused it.,I,"[angry, new]"
The doctor was awesome!,doctor,[awesome]
The doctor was awesome.,doctor,[awesome]
The doctor was both caring and professional.,doctor,[caring]
The doctor was caring and said i would be helped as soon as possible.,doctor,[]
The doctor was concerned about my problem. ,doctor,[concerned]
The doctor was condescending as a doctor and I never want to have her as a doctor at Allina again.,doctor,[]
The doctor was condescending as a doctor and I never want to have her as a doctor at Allina again.,I,[]
"The doctor was direct, well-informed and courteous bedside manner.",doctor,[manner]
The doctor was efficient.,doctor,[efficient]
The doctor was efficient and helpful.,doctor,[efficient]
The doctor was efficient and kind,doctor,[efficient]
"The doctor was efficient, professional, warm",doctor,[efficient]
The doctor was excellent!,doctor,[excellent]
The doctor was excellent and listening,doctor,[excellent]
The doctor was excellent and very concerned about me,doctor,[excellent]
The doctor was exceptionally diligent,doctor,[diligent]
The doctor was expeditious and friendly.,doctor,[expeditious]
The doctor was extremely friendly,doctor,[friendly]
"The doctor was extremely friendly, down to earth.",doctor,[friendly]
"The doctor was extremely  professional, very calm.....which calmed me.",doctor,[calm]
"The doctor was extremely  professional, very calm.....which calmed me.",which,[calm]
The doctor was extremely thorough,doctor,[thorough]
The doctor was friendly.,doctor,[friendly]
The doctor was friendly and fast,doctor,[friendly]
The doctor was friendly and helpful,doctor,[friendly]
The doctor was gentle and listened to me,doctor,[gentle]
The doctor was genuine and quick!,doctor,[genuine]
The doctor was good too.,doctor,[good]
The doctor was great,doctor,[great]
The doctor was great!,doctor,[great]
The doctor was great!!,doctor,[great]
The doctor was great.,doctor,[great]
The doctor was informative and very kind and willing to listen.,doctor,[informative]
The doctor was in the room for less than one minute (both times).,doctor,[]
"The doctor was kind, empathetic, and gave me the information of what was being done in a clear warm way.",doctor,[empathetic]
The doctor  was knowledge  a;bd efficiebt,doctor,"[knowledge, efficiebt]"
"The doctor was not friendly, seemed not interested, no information",doctor,[friendly]
The doctor wasn't a pleasant person.,doctor,[person]
The doctor was polite and made me feel relaxed.,doctor,"[polite, relaxed]"
The doctor was polite and made me feel relaxed.,me,"[polite, relaxed]"
The doctor was professional and courteous,doctor,[professional]
The doctor was professional and courteous.,doctor,[professional]
The doctor was professional and precise and caring,doctor,[professional]
"The doctor was professional, courteous, and friendly",doctor,[professional]
"The doctor was professional, efficient, personable",doctor,[professional]
"The doctor was professional, kind, friendly, courteous",doctor,[professional]
"The doctor was professional, personable, sincere. ",doctor,[sincere]
The doctor was prompt and courteous,doctor,[prompt]
The doctor was prompt friendly,doctor,"[prompt, friendly]"
The doctor was quick and answered all question,doctor,[quick]
The doctor was quick and done courteously.,doctor,[quick]
The doctor was quick and made me very comfortable!!,doctor,[quick]
The doctor was so  considerate  to my  unique situation that she allowed me to sit and brought the paperwork to me,doctor,[considerate]
The doctor was so  considerate  to my  unique situation that she allowed me to sit and brought the paperwork to me,she,[considerate]
The doctor was so  considerate  to my  unique situation that she allowed me to sit and brought the paperwork to me,me,[considerate]
The doctor was so friendly! ,doctor,[friendly]
The doctor was so great and couldn't ofasked for someone better,doctor,[great]
The doctor was so nice and patient.,doctor,[nice]
The doctor was so nice took time to listen and didn't make me feel rushed or unimportant.,doctor,[nice]
The doctor was so nice took time to listen and didn't make me feel rushed or unimportant.,me,[nice]
The doctor was so very nice and personable. ,doctor,[nice]
"The doctor was straightforward, logical explanation and recommendation.",doctor,[explanation]
The doctor was such an incredible person,doctor,[person]
The doctor was super friendly!!,doctor,[friendly]
The doctor was terrific!,doctor,[terrific]
The doctor was the best!!!!,doctor,[best]
The doctor was the nicest and friendliest person the only one we encountered the entire visit,doctor,"[person, one, visit]"
The doctor was the nicest and friendliest person the only one we encountered the entire visit,we,"[person, one, visit]"
The doctor was told no testing can be done because it was after hours.,it,[]
The doctor was uninterested and made no secret of the fact.,doctor,[uninterested]
The doctor was ver considerate and informative.,doctor,[considerate]
The doctor was very accomodating,doctor,[accomodating]
"The doctor was very attentive ,did the test and got results and I was on my way.",doctor,[attentive]
"The doctor was very attentive ,did the test and got results and I was on my way.",I,[attentive]
"The doctor was very calm, kind and informative",doctor,[calm]
The doctor was very caring,doctor,[caring]
The doctor was very caring and professional.,doctor,[caring]
"The doctor was very caring, bandaged my arm very gently",doctor,[caring]
"The doctor was very caring, very concerned and personable.",doctor,[caring]
The doctor was very casual,doctor,[casual]
"The doctor was very clear and helpful, explained everything clearly",doctor,[clear]
The doctor was very clear in instructions,doctor,[clear]
The doctor was very comforting and knowledgeable,doctor,[comforting]
The doctor was very congenial.,doctor,[congenial]
The doctor was very considerate and compassionate.,doctor,[considerate]
"The doctor was very convenient, fast, and courteous",doctor,[convenient]
The doctor was very cordial and welcoming,doctor,[cordial]
The doctor was very courteous,doctor,[courteous]
The doctor was very courteous and made sure that we had the discharge planning information.,doctor,"[courteous, information]"
The doctor was very courteous and made sure that we had the discharge planning information.,we,"[courteous, information]"
The doctor was very courteous and quick to discharge.,doctor,[courteous]
The doctor was very curtious and respectful,doctor,[curtious]
The doctor was very dedicated and explained medication he was prescribing.,doctor,[dedicated]
The doctor was very dedicated and explained medication he was prescribing.,he,[dedicated]
The doctor was very detailed,doctor,[detailed]
The doctor was very disrespectful.,doctor,[disrespectful]
The doctor was very efficient.,doctor,[efficient]
The doctor was very fast and efficient.,doctor,[fast]
The doctor was very fast and get straight to the point,doctor,[fast]
The doctor was very friendly,doctor,[friendly]
The doctor was very friendly!!,doctor,[friendly]
The doctor was very friendly.,doctor,[friendly]
The doctor was very friendly and caring treatment.,doctor,[treatment]
The doctor was very friendly and considerate,doctor,[friendly]
The doctor was very friendly and easy process,doctor,[process]
The doctor was very friendly and fast,doctor,[friendly]
The doctor was very friendly and helpfull,doctor,[friendly]
The doctor was very friendly and kind.,doctor,[friendly]
The doctor was very friendly and made me feel very comfortable,doctor,"[friendly, comfortable]"
The doctor was very friendly and made me feel very comfortable,me,"[friendly, comfortable]"
The doctor was very friendly and organized,doctor,[friendly]
The doctor was very friendly and professional,doctor,[friendly]
The doctor was very friendly and she took the time to explain everything that was being done.,doctor,"[friendly, time]"
The doctor was very friendly and she took the time to explain everything that was being done.,she,"[friendly, time]"
The doctor was very friendly and sympathetic,doctor,[friendly]
The doctor was very friendly and understanding and fast!,doctor,[friendly]
The doctor was very friendly and welcoming,doctor,[friendly]
"The doctor was very friendly, fast and everyone was very caring",doctor,"[friendly, caring]"
"The doctor was very friendly, fast and everyone was very caring",everyone,"[friendly, caring]"
"The doctor was very friendly, knowledgeable and fast",doctor,[friendly]
The doctor was very good with my child,doctor,[good]
The doctor was very helpful,doctor,[helpful]
The doctor was very helpful.,doctor,[helpful]
The doctor was very helpful. ,doctor,[helpful]
The doctor was very helpful and made it an easy process overall,doctor,[helpful]
The doctor was very helpful and nice.,doctor,[helpful]
The doctor was very helpful and personable.,doctor,[helpful]
The doctor was very helpful and thorough!!,doctor,[helpful]
The doctor was very helpful and thorough in her explanation of what I needed to have done.,doctor,[helpful]
The doctor was very helpful and thorough in her explanation of what I needed to have done.,I,[helpful]
The doctor was very helpful in explaining the process. ,doctor,[helpful]
The doctor was very helpfull,doctor,[helpfull]
The doctor was very informative!,doctor,[informative]
The doctor was very informative in a timely fashion.,doctor,[informative]
The doctor was very kind and attentive.,doctor,[kind]
The doctor was very kind and caring.,doctor,[kind]
The doctor was very kind and explained what she was doing and why I needed an x-ray. ,doctor,"[kind, what, ray]"
The doctor was very kind and explained what she was doing and why I needed an x-ray. ,she,"[kind, what, ray]"
The doctor was very kind and explained what she was doing and why I needed an x-ray. ,I,"[kind, what, ray]"
The doctor was very kind and friendly.,doctor,[kind]
The doctor was very kind and informative,doctor,[kind]
The doctor was very kind and nice.,doctor,[kind]
The doctor was very kind and quick,doctor,[kind]
The doctor was very kind and responsive to needs.,doctor,"[kind, needs]"
The doctor was very kind and understanding of my needs and concerns,doctor,[kind]
The doctor was very kind and upbeat.,doctor,[kind]
"The doctor was very kind, calm and direct helped reduce anxiety. ",doctor,[kind]
"The doctor was very kind, opened my water for me and was so nice. ",doctor,[kind]
The doctor was very knowledgeable,doctor,[knowledgeable]
The doctor was very knowledgeable about my situation. ,doctor,[knowledgeable]
The doctor was very knowledgeable and nice.,doctor,[knowledgeable]
The doctor was very knowledgeable and painless,doctor,[knowledgeable]
The doctor was very knowledgeable and reassuring.,doctor,[knowledgeable]
The doctor was very nice and cared about my injury.,doctor,[nice]
The doctor was very nice and caring,doctor,[nice]
The doctor was very nice and helpful,doctor,[nice]
The doctor was very nice and helpful!,doctor,[nice]
The doctor was very nice and professional,doctor,[nice]
"The doctor was very nice and showed every concern for my comfort, including getting a pillow for my neck.",doctor,[nice]
"The doctor was very nice, knowledgeable, considerate. ",doctor,[considerate]
"The doctor was very nice, patient with my questions and very helpful!",doctor,[patient]
The doctor was very quick and efficient.,doctor,[quick]
The doctor was very thorough and clear explanation of my issue.  ,doctor,[explanation]
The doctor was very welcoming and kind.,doctor,[welcoming]
The doctor was with the patient before me for a long time. ,doctor,[]
The doctor was wonderful too!,doctor,[wonderful]
"The Dr. listened to her, was very patient and affirming.  ",Dr.,[]
The experience was quick painless no wait in and out time.,experience,"[painless, wait]"
The experience was swift but so concise.,experience,[swift]
The hospital was a little too warm,hospital,"[little, warm]"
The MA didn't make eye contact and didn't seem compassionate,MA,[contact]
The male nurse was very companionate and helpful.,nurse,[companionate]
The MA was short.,MA,[short]
"The nurse acknowledged that she was upset, but said and did absolutely nothing at all to comfort her. ",nurse,[upset]
"The nurse acknowledged that she was upset, but said and did absolutely nothing at all to comfort her. ",she,[upset]
The nurse and nurse practitioner explained everything to me and took precautions to make sure I was comfortable and my wound was taken care if properly.,practitioner,"[everything, comfortable]"
The nurse and nurse practitioner explained everything to me and took precautions to make sure I was comfortable and my wound was taken care if properly.,I,"[everything, comfortable]"
The nurse and provider didn't seem to care that I spent almost an hour sitting around an waiting on them.,nurse,[hour]
The nurse and provider didn't seem to care that I spent almost an hour sitting around an waiting on them.,I,[hour]
"the nurse and the physicians assistant did not have anyone before me, nor was there anyone there when I left. ",nurse,[anyone]
"the nurse and the physicians assistant did not have anyone before me, nor was there anyone there when I left. ",I,[anyone]
The nurse continued to speak to me rudely as if the emergencies meant we had to sit trapped in a room for hours.,nurse,[]
The nurse continued to speak to me rudely as if the emergencies meant we had to sit trapped in a room for hours.,emergencies,[]
The nurse continued to speak to me rudely as if the emergencies meant we had to sit trapped in a room for hours.,we,[]
The nurse entered with our discharge paperwork and removed Emilia's IV roughly.,nurse,[]
The nurse never did.,nurse,[]
the nurse was very rude about there being emergencies. ,nurse,[rude]
The odor was noxious.,odor,[noxious]
The office is very clean,office,[clean]
The office is very clean and customer service was great and speedy,office,"[clean, great]"
The office is very clean and customer service was great and speedy,service,"[clean, great]"
The office is very clean and helpful,office,[clean]
The rad tech was nice but put the wrong medications in my record.,tech,[nice]
Therapists took the time to make our son's treatment simulate his sports activities as closely as possible.,Therapists,"[time, activities]"
Therapists took the time to make our son's treatment simulate his sports activities as closely as possible.,treatment,"[time, activities]"
"The RN stopped, got with the frint desk, but continued then on paper until the revords were straightened out.",RN,[]
The staff are attentive and nice,staff,[attentive]
The staff are caring & professional,staff,[professional]
"The staff informed me how long the expected wait was, they gave me an icepack and they told me when the nurse and doctor would be in. ",staff,[icepack]
"The staff informed me how long the expected wait was, they gave me an icepack and they told me when the nurse and doctor would be in. ",wait,[icepack]
"The staff informed me how long the expected wait was, they gave me an icepack and they told me when the nurse and doctor would be in. ",they,[icepack]
"The staff informed me how long the expected wait was, they gave me an icepack and they told me when the nurse and doctor would be in. ",they,[icepack]
"The staff informed me how long the expected wait was, they gave me an icepack and they told me when the nurse and doctor would be in. ",nurse,[icepack]
The staff is courteous and thorough.,staff,[courteous]
The staff take their time to make sure you are getting the full benefits of therapy and time to explain everything. ,staff,"[time, benefits]"
The staff take their time to make sure you are getting the full benefits of therapy and time to explain everything. ,you,"[time, benefits]"
The staff truly care about your health needs.,staff,[]
"The staff was courteous, friendly very professional.",staff,[professional]
The staff were nice and courteous even with as busy as they were.,staff,[nice]
The staff were nice and courteous even with as busy as they were.,they,[nice]
The staff were very thorough with their examination of her which put her father and I at ease. ,staff,"[thorough, father]"
The staff were very thorough with their examination of her which put her father and I at ease. ,which,"[thorough, father]"
"the treating physician seemed comfortable in his own skin, knowledgeable and nice.",physician,"[comfortable, knowledgeable]"
They are great. ,They,[great]
This is the second time that I've had to use Resurgeons rehabilitation center and this is the second time I have had Beth and she's been very professional and very good at her job both times.,This,"[time, time, Beth]"
This is the second time that I've had to use Resurgeons rehabilitation center and this is the second time I have had Beth and she's been very professional and very good at her job both times.,I,"[time, time, Beth]"
This is the second time that I've had to use Resurgeons rehabilitation center and this is the second time I have had Beth and she's been very professional and very good at her job both times.,this,"[time, time, Beth]"
This is the second time that I've had to use Resurgeons rehabilitation center and this is the second time I have had Beth and she's been very professional and very good at her job both times.,I,"[time, time, Beth]"
"Very attentive to my mom's toilet needs and also spent other time with my mom to distract and calm her, which was much appreciated.",mom,[]
VERY GOOD ....THE DOCTOR MADE ME FEEL LIKE I WAS IN GOOD HANDS....,DOCTOR,[]
VERY GOOD ....THE DOCTOR MADE ME FEEL LIKE I WAS IN GOOD HANDS....,ME,[]
VERY GOOD ....THE DOCTOR MADE ME FEEL LIKE I WAS IN GOOD HANDS....,I,[]
Very much appreciated the time the doctor took to understand my issue and offer counsel.,doctor,[]
vThe doctor was very kind!!!,doctor,[kind]
we are very fortunate that Dr. Neil was able to take care of our daughter.,we,"[fortunate, able]"
we are very fortunate that Dr. Neil was able to take care of our daughter.,Neil,"[fortunate, able]"
We felt like a burden to Mary Beth,We,[]
We felt that the doctors were especially cautious and thorough which made us confident that we are getting the best care.,We,"[cautious, confident, care]"
We felt that the doctors were especially cautious and thorough which made us confident that we are getting the best care.,doctors,"[cautious, confident, care]"
We felt that the doctors were especially cautious and thorough which made us confident that we are getting the best care.,which,"[cautious, confident, care]"
We felt that the doctors were especially cautious and thorough which made us confident that we are getting the best care.,we,"[cautious, confident, care]"
"When I asked her why, and if the EKG had shown any particular problem, again - abruptly almost - the ""nurse"" said ....""there is nothing we can do here: you have to go to the hospital"".",I,[problem]
"When I asked her why, and if the EKG had shown any particular problem, again - abruptly almost - the ""nurse"" said ....""there is nothing we can do here: you have to go to the hospital"".",EKG,[problem]
"When I asked her why, and if the EKG had shown any particular problem, again - abruptly almost - the ""nurse"" said ....""there is nothing we can do here: you have to go to the hospital"".",nurse,[problem]
"When I asked her why, and if the EKG had shown any particular problem, again - abruptly almost - the ""nurse"" said ....""there is nothing we can do here: you have to go to the hospital"".",we,[problem]
"When I asked her why, and if the EKG had shown any particular problem, again - abruptly almost - the ""nurse"" said ....""there is nothing we can do here: you have to go to the hospital"".",you,[problem]
when I called and asked for this to be corrected I was told the nurse was too busy and I could just pick it up where they called it.,I,[busy]
when I called and asked for this to be corrected I was told the nurse was too busy and I could just pick it up where they called it.,nurse,[busy]
when I called and asked for this to be corrected I was told the nurse was too busy and I could just pick it up where they called it.,I,[busy]
when I called and asked for this to be corrected I was told the nurse was too busy and I could just pick it up where they called it.,they,[busy]
which was shocking since the person took a copy of my id AND insurance information.,which,"[shocking, copy]"
which was shocking since the person took a copy of my id AND insurance information.,person,"[shocking, copy]"
While Brad was fast and efficient he didn't seemed rushed.,Brad,"[fast, efficient]"
While Brad was fast and efficient he didn't seemed rushed.,he,"[fast, efficient]"
Why didn't the transfer happen sooner? ,transfer,[]
You can tell that Braun truly cares about his patients.,You,[]
You can tell that Braun truly cares about his patients.,Braun,[]
