review,emotion
@gfalcone601 that little girl on BGT! how sad! i cried  lol xxxxxxxxxxxxxxxxxxx,sadness
Today I wrote two songs (one for temple which I will probably never perform ever) and one for mothers day. Happy vesak everyone  rena xoxo,worry
Have 3 of the 5 grandbabies again today. 19 month old twins and a 3 1/2 month infant. I love every minute of it too.,love
on my way to driver's training,neutral
"@rmolden Yes, maybe, but for today, I write",neutral
"@funhiguy Hi man, yeah I so wanna go, but I'm on Maui  #liloven",worry
@domsmitherz what was said?,worry
Bah! Still at work. Lol my feet hurt and my nose won't stop running!,worry
"i thought ur account @DavidArchie was fake. but, it's true, sorry david!",sadness
2pm today is Quiz Time at the Goat! Game shows to play and prizes to be won! Plus 'Toss Off Tommy' for free drinks! Today from 2! x,neutral
wants to buy really red* lipstick. But I won't wear it that often,worry
@BamaBlockhead No.. $16 is a good price considering WHO you are going to see!    Right?,neutral
@JanisJ1212 haven't laughed that much in awhile,worry
@RobCairns My pleasure.  Hear Kelli has new project!   #followfriday,neutral
@MrsWilliams @Timperator fï¿½hlt sich ganz so an #montezuma #iphone,neutral
@MSMyPhone I need a code,neutral
wants TFA back.  http://plurk.com/p/x2rgl,neutral
@Fresh_and_Easy when will these stores in Sacramento open? Been waiting and nothing,worry
So now we'll pay more in sales tax...great.  Even worse Mom and Pop businesses have to double what they pay in business licenses.,worry
Coco still out,neutral
WOW i just drank a drink of water - 12 ice cubes that took ages to melt. i now have brian freeze,happiness
"Woop, have just bought the Elliot Minor album on itunes. Its finally working for me!!",neutral
loves it when mom and dad come to visit! nothin better,love
hmm icecream for breakfast  #springtime,neutral
@NMaize Lucky Rob... always gettin' the T8's from Emalon,neutral
@serenajwilliams Hi Serena just want to say good luck in Madrid and Paris this month,sadness
@stormyamorette just one of those days where loneliness creeps up on you slaps you in the face.,neutral
A little 3 mile run done!  22.5 minutes...  I'm exhausted!  Not impressed with the HRM...,sadness
finally leaving this place! woohoo! school time!,worry
lol if i only can sTay up a few more hours.. i keep missing Tila's lasT posTs ..,worry
I Love the lady from the Progressive commercials she's so funny,love
"ooh@LuLu_Bell whatchu goin as? Monsterpalooza's this weekend for us.  on the no Ink, i won't be a stressed contestant this year! Miss U X0",worry
With my jordie for a little bit,sadness
yay mothers day  i love mi madre,love
"Lookin for work via online, watchin ShayCarl's latest vlog entry on youtube and textin a lady friend.  My beds calling my name though..",happiness
@Marcyluvstravel omg! I dont blame you! hope you didnt hurt him too bad,worry
Wish someone would by my 90mm Mamiya MF lens. Needs the money,neutral
I miss my daily quotes! Why don't i get them anymore? @sschabowski am I kicked from your mailinglist?,worry
"@cocoacast I need to move to NY, SanFran, or Seattle to get worth-a-crap internet speeds",sadness
Father is staying home and conference calling. Sorry @Sparklegirl21,worry
"As old as the answer to the ultimate question of life, the universe &amp; everything. That's 42, for all the non-Hitchikers Guide fans",worry
"@ RyanSeacrest : hi there might be a problem as it says no stream online, wat's not right?",sadness
"@mileycyrus I'd love to, but i'm all the way in India.",sadness
@ Kosme -&gt; careful or you're going to be like me; updating websites and such on a Friday night,neutral
paathra ....khandvi....kamanee    ...watte sunday mrng,neutral
Nic has no idea what he's going to do!  money is all gone!,neutral
@Crossbow1 YOU'RE TELLING ME.,neutral
i hate having the same hair for too long. i think i want super looong hair now,worry
X-Men:Wolverine was hot! I say go watch it,neutral
Just had a lovely walk with my dog ( all on my own! )...In the dark  But it was a nice walk though HEHE x.,love
"@justjen97 BTW, do not plan anything for next Sunday. But do find out times they're showing Wolverine. I will take us to the movies!",worry
per @ttorrent dew claw = thumb nub,neutral
"@Princess_DJ Xmas a week early? Hehe, at least you didn't have to do any last min shopping",worry
"Don't know what to do right now...pretty bored, but I refuse to study. Any suggestions?",worry
I just want to watch my Naruto Shippuuden missed episodes.,neutral
Barnsley To Keep Davey   And Sign A New Experienced Striker.,neutral
Has been a long day - Matinee and evening show. Will be sad tomorrow: last ever Welsh College show,worry
"@Lozingsleep Damn, that charming skater look is kind of....HOT! A hot mess  Catherine pls don't hate me for hitting on your friends. tnx",worry
"I have lived through our band's first performance, and it was pretty damn fun.",happiness
@RetroBakery I would have to agree on the Bacon Cupcake... Would rather drive 2 the shop instead of 2 the office,worry
"@suddentwilight Yep, that's me all right - I don't mean the monk is Me - that's my (as in a photo taken by me) in Better Photography",worry
Why can't I make a phone call! I hate this anxiety crap. Someone cure me,sadness
I knew I should've worn the SARS mask on the plane from SoCal.. feeling the beginnings of a sore throat,worry
@kristanmarie at least you dont have quad parking haha two cars drove by real fast and spashed mud all over me,neutral
OMG sore shoulder,neutral
fucking hates goodbyes,neutral
"ohhhh, how sad...I didnï¿½t get it!",neutral
waiting for the last video to be rendered. while watching episode 11,neutral
May the 4th be with you. Happy Star Wars Day!  http://ow.ly/52Aw,happiness
"wanted greg pritchard to go through     what a silly, sobby and hopelessly dull little girl hollie steel is?",neutral
@TwitMUGSHOT I'm like so upset with you.. haha.. you never told me the 411..,worry
gawd the rain is too strong,neutral
@TaylaMcCloud yeah i did haha 3rd episode is up as well,neutral
Is listening to P!nk tunage and trying to teach my cat to dance to it... I think she's getting it we can be backing dancers by next tour,neutral
Finally going home! Its been a long night.. Ready to crash and have awesome dreams,happiness
Tracy and Berwick breaks my achy breaky heart  They split ways in the hallways.,worry
"@MissXu Nope  Not that I have to worry about the possibility. I'm more worried about GOOG's design than her personal taste, actually.",worry
I'm totally going to bed right now.,worry
@jkreeftmeijer you can turn the bird sounds off if you like in twitterena - check out settings from your home page,worry
@chang_ROR Hey dude welcome to twitter  its seexyyyyy,neutral
I'm doing an advert 4 the Make-A-Wish foundation &amp; I can't find photos of kids looking close to death... that's a good thing for the kids,worry
Two week extension on contract ... I'm ready for it to be done,neutral
What am I doing atm? http://twitpic.com/4jmeh Oh yeah. Apple Juice  I'm such a rebel!,worry
"@tommcfly &quot;We never want to lose the fans that got us here!&quot; Thank you for saying that  Wish you and the others a nice day, greets",worry
Wtf why am i JUST getting up now? HM:TM today  but before that... revision revision revision :/,neutral
Home empty handed.  No comics found today.  I shall now indulge in my cupcakes from Magnolia Bakery.,worry
Summer Glau to appear in Dollhouse next year http://tinyurl.com/mnrezc ... I still can't believe they won't renew TSCC,neutral
90210 9pm  I laaaaaaaaave it.,neutral
Why does my boss have to come in today.....,neutral
My phone is dying ....,worry
talking to dii and missing her terribly...,sadness
(@zachflauaus) Note to self: never ever leave the MacBook Pro on the stupid iCurve. It fell off.,worry
Happy Mothers Day. Havent got mom a present yet? Print off an Amazon Gift Card for her!  http://snipurl.com/hq0n1,love
good news: my flat is great at regulating temps. in the heat. bad news: its sodding lovely outside and i'm working!,sadness
@tonyrobbins &quot;paradise is where I am.&quot; he also said,neutral
looks like another sober weekend ahead...,neutral
Sgt. Hughes has bacteria meningitis  so i disinfected our female latrine and im writing an essay on meningitis for Sgt. Ski....,sadness
Just got home from work.. My feet are killing me,neutral
I SO should've gone right now!!! *wish I could alter time!!  *,worry
...No more adventure time,neutral
"Hah! I saw the Wolverine last night!!! Now I can die happy, well not yet though, got a few things to get done first, but was my MoY",neutral
"@HairBoutique Thanks, btw which men's hairstyles are in right now? I'm growing my hair long  anyway hope you are having a good weekend!",worry
What's with the gloomy weather? The sun must be too tired to come out and play  heading to victoria gardens for some impulse buys haha,worry
made my pin hole camera todaaaaay. need to get some film now!  http://tinyurl.com/cw8wp2,neutral
@richardepryor You missed me!  lol,sadness
"FUCK FUCK FUCK FUCK, @bradiewebbstack please comment me back  ILY",worry
Running errands with my little man. Maybe he won't act like a 3 year old today.,neutral
"ahahah with sandy, bekz, erin and derrian",worry
"really need to study, many books many updates  :~",worry
"@zaneology Correction: &quot;facetious&quot; not &quot;sarcastic.&quot; Apologies.  Oh, and happy Mother's Day!",happiness
@jbrigante haha. I'm on drink #2. Cheat day for me,worry
heading to Xtra-vision to get part 2 of Season 3 - CSI Miami baby!!!,neutral
good morning tweets,happiness
&quot;Ooh-ooh... it's SHINY&quot;. An dmore awe-tastic quotes from THE BEST ANIMATED MOVIE EVER coming up,love
"I say &quot;oh man..&quot; jovani asks, &quot;did you just call me an old man?&quot; haha",neutral
"@midnatsol hello hun, how's things going? Tell me all",neutral
@rachyzilla still haven't been to the infamous liverpool store  my manager helped set it up said it's awesome (y),neutral
6th street was amazing this weekend!!! The wedding was fantastic.. but im really really tired at work from the long eventful weekend,neutral
Excited bout going out 2nite but bummed cuz im da designated driver. So no drinking for Angie!,worry
my phone is broken    &amp; im too lazy to go to the verizon store to get a new one.. oh well i guess no phone for awhile.. aha,neutral
"@man_wi_no_name nope!  the printer in the library didn't work, ill have to pass it in monday",neutral
didnt say goodnight to you,neutral
@cookiemonster82 ohhh yea it is from the same film  and this one had been a fave for a longgggg time... any1 for humma humma?,neutral
is loving life in sydney,love
"has applied for OSAP yet again- God, I'm gonna owe major $$$ by the end of my academic career, this just ain't right!!",worry
I've got great expectations of tomorrow  It's gonna be awesome!! ? http://blip.fm/~5jf53,neutral
@AnneTwan May the fourth be with you,neutral
"@antwanduncan ew, tongue kiss",neutral
@bradfordshimp The least I can do for you is re-tweet it when it's ready. So @ me  Mine is http://bit.ly/xPvT7 - I talk about viral tweets,worry
@atlanta_arcelay http://twitpic.com/4xvw2 - I got chased by a male chihuahua that looked like he was pregnant today  He was black and  ...,worry
@ragavin  is there anything Brian or I can do?,worry
@CostaVidaFred awwwwww sorry we're going to miss you!,sadness
"Just put all the original art for my comics into an album.  Its really nice, except it shows how much I liked to cut corners to finish.",worry
"Going to bed. Today was another good, if uneventful day.",happiness
have a splitting headache!,neutral
@crazytwism http://twitpic.com/416b7 - hey! nice pic,neutral
@aidadoll LMAAAOOOOO that is horrible. Poor thing,neutral
Because you're everything to me DEMI LOVATO,neutral
"Ohhh me, i am rather bored. How can a friday night be soo boring!",worry
"My tooth is bloody killing, not sure I can wait until next week to get it fixed",neutral
@thedailysurvey Why do we love those that we cannot have?,love
Friday is the new Thursday,neutral
Yeahh cenare lo mismo qe Rosher! ok ok Roger  wiii,neutral
http://twitpic.com/4wgp2 - Bambi will eat you,neutral
Happy Mothers Day to all the mums in my life and those that are not,love
@JayresC: n u can't change your profile backgroud neither,neutral
"So much for just an oil change... Do not pass Go, do not collect $200, lose $160",worry
"@erinmmoore if we actually watch it, yes we can admit it... our popular culture doesn't define our Christianity!",neutral
"can't sleep without my routine &quot;before-bed snack&quot;, but  to find that it comes along with a fatfat tummy.",neutral
ipod died today,neutral
is spending her Saturday morning taking notes for a research essay because some stupid whore recalled the book I'm using. Not fair,worry
O'Charleys? Pretty good. Especially when its free. Hot waitress? I think so. Back to work? Unfortunately.,neutral
@projectcloud pinched nerve,neutral
"@natdcook hey you, honey bear! Don't goooooooo  puhleeezeee..",worry
people in my house do not know how to close doors,worry
"@DrRus @BruceBrownNC Good morning, gents!  How are ya today?",happiness
@m1dnightc1ty I do too!! Sounds interesting,neutral
disappointed! I forgot to tweet something really inappropriate @graphicphantom yelled in whole foods yesterday &amp; now I can't remember it.,worry
WTF? Twitter doesnt support messages from my phone -I wanted to be able to Twit while on vacay.   Poo on you Twitter,neutral
@ash_786 It's no secret I'm an apple boy! Have considered the iphone dark side MANY times,worry
Missing Everyone,neutral
Caught in a herd of somalions,neutral
"@_danni haha that's the stupid thing, I did and I'm still getting them &gt;:]",neutral
"Jeff can't get his visa in time to come visit me!    I'm so sad.  In other news, I'm going to Lapa tonight to samba the night away.",worry
Had Sbarro for dinner and Krispy Kreme for dessert. Mmmmm! But so not very healthy.,worry
"..my mother just WON the City of Terrell, Texas District 2 'City Council' Seat  ..i'm M.i.A lol HAPPY MOTHERS DAY",happiness
happy mothers day!,love
"@joycecherrier Awww. Don't mean to sound like an overgrown age 37 baby, but I'm still stick. Not as bad as yesterday, but still bad.",sadness
sooo tired of this cubicle,sadness
@NadavS Cant wait to do some of those things,neutral
@AugustGrrl oh no! Whats up chuck?,neutral
@bruceswalker   Hi Bruce  I am trying to eat healthy!  It's kinda scary when I read &quot;Eat this Not that&quot;  maggots and rat hair in our food,worry
@JessicaSimpson I've been a fan of yours for years and you have been such an inspiration to me. You're truly my idol  Best wishes to you,sadness
@dorkybarb There are currently 0 penguins at the MN zoo...  but we can go sometime soon.,neutral
wants to welcome @melizadeleon: back to Plurk again!  http://plurk.com/p/rp5po,neutral
Packing for Florida  What's the liquids in a carry-on rule - 3 or 4 oz? Haven't flown in over a year,worry
@mcraddictal,neutral
@Lesley_M make sure you watch in HD,worry
My back is killing me...  It won't keep me from dropping it low...hope I got someone to pick it back up tho... LOL,neutral
@HannaG87  There you go.,neutral
all alone on a friday night,love
Downside to being on client site... no donut today.,worry
Happy Mother's Day everyone,love
stood on my curlers and burnt myself  then burnt my hand when i picked them up..,happiness
"Squabbling with people over the internet is great for my Tumblarity, but bad for my ego when they have more internet friends than me",neutral
@aldenpolicar good day sir. I'm hungry!,neutral
@TheSims3 well us Brits have to wait a few more days for it!  I thought it was all gonna realized at once! I guess it's worth the wait!,neutral
in edinburgh. just had a chinese yum! better take wee haggis out hes cryin at me   dunno y tho xox,neutral
@boomerous Discrimination is not a bad thing. I've learned to say no. My children would say I mastered that years ago,worry
@matheusmr sejaaaaa beeeem vindo meu anjo,neutral
I think the rain killed my phone,worry
@Zo_E Aw. well im sorry you don't like July for those reasons,worry
"Ready, Set.... hmmm DELAY",neutral
Happy Mother's Day to all the moms out there!,love
@caitymarie I'm not off till 930,worry
less than 1 month and im done with high school... ohh my!  my friends,happiness
"@scodal  yeah I saw, looks like hard work, But I would know  whats upp handsome",neutral
it is so cute watching Matt play with the Wii as I do some work,worry
(@ohmyjade) 1-Pendulum = awesome! 2-Goodbyes suck  3-Shut up plz. 4-Toy Story 3!!  5-JB 3D MOVIE 2MORO! 6-I'm tired. 7-Aaaand I'm out.,happiness
@JackAllTimeLow I wish I could go to your melbourne show but my parents won't let me  *cries*,sadness
Going to the dirt track races w Aaron. Having a really good hair day! wish I could wear makeup though,happiness
Fudge.... Just BS'd that whole paper.... So tired.... Ugh I hate school.....  time to sleep!!!!!!!!!!!,neutral
Wonderful day for my photo practicum of the Fotoschool. I wouldn't mind some typical Dutch clouds though,worry
"@acinerba Oh man, that sux... price u pay for being on the org chart (and responsible, and stuff...)",worry
"@heidimontag It was wonderful, just home from a wedding. I love it   How was youre's?",love
"@MaryCateOMalley Like the Simpsons? That's like asking, &quot;so you like breathing?&quot;",neutral
"@homeandhosed :O goodness, i havn't heard it. i lovelovelove her old stuff though, the overture the underscore is the best album i think",worry
really rather drunk  drunk thoughts - how am i getting to work tomorrow?! is loz alive?! does gandhi read comic books?! we will never know,worry
I'm really full and I feel sick,worry
"Yaaaaaaay, bday!",neutral
Loving the new skype! Especially for someone like me who lives half a world away from home!,love
@jackalltimelow I just got my JAGK shirt in the mail! Omg I love it!!!  see you saturday!!,love
... lunch is no fun when you have nothing to eat.,neutral
hoping it will rain again because it's sooo warm,neutral
@Darcevarchy Re novel - will keep you posted,neutral
@oyfreakinvey rofl,sadness
"In 24hrs time I will be at uni waiting to start my 1st exam, scary. I am working hard this morning though, and feeling ok about it atm",worry
"This wraps it up. Well, again a lesson that you shouldn't take nude photos of yourself when you're famous. Or maybe you really should!",neutral
"@Paigex3 hah yeah, its that bad, not gonna lie. :o Have fun",neutral
"@medic60 all work, no play.",neutral
@BeateVeronica I'm jealous - I would love deer steak. One of the downsides of having an almost vegetarian and a carnivore living together,love
@OnyXx_B all the shows are sold out  so I have to wait til tomorrow or sunday...,sadness
@Nessie__Cullen_ lol  emmett wont do a dance off again,worry
"@DirtyRose17  told you, you would sweep haha :-p",happiness
"@HeroBeth That was my entire week!! I didn't get to design once while at my GRAPHIC DESIGN job, only at home doing freelance. Sad.",sadness
@Helena210 No one to rub it in,neutral
Good morning everyone! It's back to work for me - so won't be able to chat until tonight - I hope everyone has a great day!,neutral
Off to the banks to get this thing rolling! Hooray for days off!,neutral
@RetroRewind ty for feeding our NK addiction..ermm i mean our uhh nope yup addiction covers it,worry
Morning.. Coffee and fresh air,worry
@sevenspoons I like mine green  Just somehow doesn't taste minty otherwise .. heh heh.,worry
@Farung now Eating and meeting at the same time sigh well well I want to start work out too but will have to wait move to my new house,neutral
"@momebie omginorite! I'd be all fancy and tophatted all the time, it's really too bad I can't grow a handlebar moustache..",sadness
@kasey79 good night,happiness
Is getting upset at work cus bindz and j are being bullies  and they won't let me go duty free shopping!,neutral
"The scream of sirens, and three fire trucks going south bound on the highway = I will not get home before 7.",worry
"@Ethan2Rock Thanks for the heads up, Ethan. Watching it now",neutral
@cosmicxpress cheers we will defo give you a call,neutral
@CVJason @MINDY979 @inotherwords_c @scrapplesandwic @thenewnicole @Sweettreat Thank you for the FFs my friends!,neutral
Symantec Ghost image corruption is making me cry,neutral
"@Frozen2theSword YAY! Hope your day at work is wonderful, Sis! We have a Bank Holiday in England today so everyone is off work",worry
@damohopo @StephanieEllen If I told you how often I wash my hair you would never speak to me again,worry
@lu_lu I must be getting old and bent: that is the second thing you've said in the last couple of days that has not really been a turnon,neutral
@meredithhawkins Aww nice,neutral
"enjoying listening to the rain fall as I prepare for a conference call at work.... a meeting later today, then to relax tonight",neutral
Wishes she had a pool,neutral
"@Dollburrell Ooh, cutting. I like you",love
Probably the best birthday I've ever had. I got to spend it with all my favorite people.,worry
@Brandi408 thank you!,neutral
@Jordanbrown Get her Clogging Shoes,neutral
@NightRPStar I don't think so. We just hired someone for that.,neutral
@Welshracer I loved him and he was in a mini,love
) no more Chemistry!!! I'm gonna choose English. I find it (Chem.) kinda boring in the end! gonna help people &lt; who choose Chem&gt;,worry
@addisontodd um hi. Good morning. Rough night?,neutral
about to play my first game of apple to apples!!   wish me luck...,sadness
@Mollieandme When oh when are you coming back for a gig in Scotland? I had tickets to see u last year but was in hosp wit gallstones!,sadness
http://www.youtube.com/Lillysan I found out this morning I got 800+ subscribers! Thx!  Check on Lillysan Awards! xx Li,worry
http://twitpic.com/4jalj - Morning world. #healthyliving update. Weight this morning 82.1kg (12st 12lbs) Going in right direction,neutral
"@Bunny90san ooo... No I believe they've all closed down, even the ones at the airport",worry
@JohnhampsonUK Oh very nice! I hope you have a wonderfully relaxing day!,happiness
"@jaybranch You too, remember the kids' grenades will go off again as soon as you've tidied the house",worry
bought my dress yesterday!!  Only 12 more days til Chris is home. So excited! Gavin has his first tooth,happiness
So I'm REALLY considering it at the moment  Same days but even more money. Harder work though but can't imagine harder than I do now.,worry
@kheiny so the beneath show got cancelled BUMMER! i guess i wont see you til cornerstone  who are you goign with?,worry
About to venture forth to Turkey Creek &amp; fetch the boy after his post prom festivities. Hope he had fun,worry
off to bed I go..have a great Mom's Day all you moms!,neutral
Well thats that then. Exam failed and bsc gone,worry
@HoptonHouseBnB now theres a thought .... do you still get goldfish at the fair ?? not seen them for years,sadness
@catrionat7 Yes yes Is. Ima Guna Be On For a While Lol.,worry
I have one less follower  That makes me sad and I feel like my life is dull and uninteresting.,happiness
@loveyoumoreMJ unfortunately I'm not drunk enough lol and have no money to get drunk  I have had alot though as u can imagine haha,worry
@crunchmonkey78 well i just got home and its not on till tmw at 530p but with comcast its on right now  but i didnt miss it,worry
@LaneySmiles you know you lvoe me!,neutral
@evatweets feel better soon! Your immune system must be away on holiday somewhere... probably with mine,worry
Off to the bank,sadness
I hadn't realised how Long it had been since I was last 'tweeting'... Now I'm on here I don't know what to say  x,neutral
@emaxio still @ the courthouse!     Happy to have a job... sad its this one!,sadness
@neestaples Thx for FF  #followfriday,neutral
"im so tired, we have a great time today together, thanks for all",worry
@DJMagic aww i'm sorry!! I was rushing around on my lunch break so I didn't even think of it!!,neutral
@dean_b BF @ gig in Portland OR.  That's not driving distance to come save me from Burbank. I stuck ATM.  Working on plan B,sadness
Now standing because my tailbone is killing me,neutral
At Home Depot and no one will help me load my plywood into my van for some reason.,worry
"happy mothers day, too all mums out there  remember treat your mum well, she brought you into this life =]",love
I am new here,worry
"@Janit thankyou sugaaar  btw I'll leave this town on 7, really hope could see you next time ya ra. Skrg sempit bgt sih waktunya ya",worry
@stephmccall ugh I'm more worried about history on wednesday  I'm freaking out about it so much!,worry
I don't know what to do about tomorrow,worry
studying for my exam tomorrow @ 2 &amp; packin up!,sadness
"@ElvisHsiao  The website I'm developing - http://woo.sh lets you also share Videos, documents, maps and events - Later music too",neutral
@HlywdScrnwriter I've thought about it several times . got a few good friends there!,happiness
"Everytime i have a bruise, @marcuselzey can't stop hitting it on accident.",worry
@dagadong  probably why he's still married to Joan perhaps?,neutral
@Sobbee Naw.. it was pretty tame. Only 1 guy in costume.. a Voyager-style &quot;medical&quot; uni. Disappointed there weren't any more in costume.,love
cant wait for thursday!,neutral
@lowestformofwit,neutral
Gotta work.  Lonely weekend ahead.,neutral
Has finally learned how to think before he speaks. And it works wonders,neutral
In the middle of breakfast the school called.Yep...back to get Shey...AGAIN.3rd migraine this week or maybe one that never went away,sadness
@melissagreen http://twitpic.com/4wsk3 - too cute,neutral
Having a (Y) weekend with Karen. Off to Swansea today,neutral
"I should probally bring a box of kleenex to schoool today, I'm going to cry so much",worry
